NR;VORNAME;NACHNAME;FIRMA;TOP IN WAS;MVP / AUSZEICHNUNG;ZERTIFIKATE;WEBSITE;EVENT(S)
42;Sara;Fennah;;M365 / Governance / Copilot;Microsoft MVP;;https://collabsummit.eu/;European Collaboration Summit, Copilot Community Conference Europe
43;Stefan;Finkbeiner;Bosch Sensortec;Sensor Technology / IoT;;;https://www.embedded-world.de/;embedded world 2026
44;Björn H.;Friedrich;Deutsche Telekom;Cloud Security / Zero Trust;;;https://www.we-conect.com/;Rethink! IT Security Herbst
45;Thomas;Fuchs;HmbBfDI;Datenschutzpolitik;;;https://www.datenschutzkongress.de/;Datenschutzkongress 2026
46;Noël;Funke;Hackers4Good;Cybersecurity / Ethical Hacking;;;https://cybersecuritysumm.it/;Cybersecurity Summit Hamburg
47;Scott;Galloway;NYU Stern;Business Analysis / Tech;;;https://omr.com/;OMR Festival 2026
48;Aude;Gandon;Nestlé (Global CMO);Marketing / Digital;;;https://dmexco.com/;DMEXCO 2026
49;Peter;Gentsch;;Digital Disruption / AI;Prof. Dr.;;https://www.ccw.eu/;CCW 2026 – Kongressmesse Kundendialog
50;Alexander;Graf;;Media / E-Commerce Publishing;;;https://konferenz.k5.de/;K5 Konferenz 2026
51;Tommy;Grosche;Fortinet;Network Security;;;https://www.fortinet.com/;INNO IT Kiel
52;Heike;Hagemeier;BMI;Cybersecurity Research;;;https://www.omnisecure.berlin/;OmniSecure 2026
53;Alexander;Handschuh;DStGB;Kommunale Digitalisierung;;;https://kommdigitale.de/;KommDigitale 2026
54;Dagmar;Hartge;LfDI Brandenburg;Datenschutzpolitik;;;https://www.datenschutzkongress.de/;Datenschutzkongress 2026
55;Philipp;Heltewig;NiCE;Conversational AI;;;https://www.ccw.eu/;CCW 2026 – Kongressmesse Kundendialog
56;Thomas;Hemker;;Adversary Analysis;;;https://www.security-insider.de/;ISX IT-Security Conference Frankfurt, ISX IT-Security Conference München
57;Fabian;Hemmert;;User Experience / Technology;Prof. Dr.;;https://www.ccw.eu/;CCW 2026 – Kongressmesse Kundendialog
58;Easen;Ho;Vantron Technology;Embedded / IoT;;;https://www.embedded-world.de/;embedded world 2026
59;Thomas;Hoeren;Uni Münster;IT-Recht / Informationssicherheit;Prof.;;https://www.datenschutzkongress.de/;Datenschutzkongress 2026
60;Tim;Höttges;Deutsche Telekom (CEO);Telecom / Digital Transformation;;;https://bigbangfestival.de/;BIG BANG KI Festival, digital X 2026
61;Anja;Ittrich;;VP E-Commerce & Marketing;;;https://konferenz.k5.de/;K5 Konferenz 2026
62;Marianne;Janik;Google Cloud (VP EMEA North);Cloud Technology;Dr.;;https://bigbangfestival.de/;BIG BANG KI Festival
63;Martin;Kagerbauer;KIT;Verkehrsplanung;;;https://www.kit.edu/;IT-Trans 2026
64;Brittany;Kaiser;Own Your Data;Digital Rights / Data Privacy;;;https://www.cloudfest.com/;CloudFest 2026
65;Olaf;Kaiser;Systemhaus-Coach;MSP-Geschäftsmodelle;;;https://partnernews.sophos.com/;Sophos Partner Roadshow, Sophos MSP Community Days
66;Felix;Kammerlander;;Software Architecture;;;https://www.oop-konferenz.de/;OOP 2026 – Software-Architektur
67;Meike;Kamp;BlnBDI;Datenschutzpolitik;;;https://www.datenschutzkongress.de/;Datenschutzkongress 2026
68;Nadine;Kamski;L'Oréal;Media Director DACH;;;https://dmexco.com/;DMEXCO 2026
69;Valeria;Kaplan;;PostgreSQL Contributions;;;https://2026.pgconf.de/;PostgreSQL Conference Germany
70;Alexander;Kaserbacher;;Software Architecture;;;https://www.oop-konferenz.de/;OOP 2026 – Software-Architektur
71;Martin;Kasparick;;Sichere Kommunikation;Dr.-Ing.;;https://www.pmrexpo.com/;PMRExpo 2026
72;Marcus;Keupp;;Business / Strategie;Prof. Dr.;;https://www.ccw.eu/;CCW 2026 – Kongressmesse Kundendialog
73;Stephan;Klein;Governikus;Digital Identity / eID;;;https://www.governikus.de/;OmniSecure 2026
74;Klaus;Klingner;;Information Security Officer;;;https://www.we-conect.com/;Rethink! Cloud & Infrastructure Security
75;Tina;Klüwer;;Conversational AI;Dr.;;https://riseof.ai/;Rise of AI Conference
76;Anna-Theresa;Korbutt;Hamburg Transport (HHA);ÖPNV / Keynote;;;https://www.it-trans.org/;IT-Trans 2026
77;Dirk;Krautschick;;Database Performance;;;https://2026.pgconf.de/;PostgreSQL Conference Germany
78;Oliver;Kreth;Ceyoniq;Digital Transformation / DMS;;;https://www.ceyoniq.com/;KommDigitale 2026
79;Antonio;Krüger;DFKI;AI Research / HCI;Prof.;;https://www.dfki.de/;Rise of AI Conference
80;Dieter;Kugelmann;LfDI Rheinland-Pfalz;Datenschutzregulierung;Prof.;;https://www.datenschutzkongress.de/;Datenschutzkongress 2026
81;Helen;Kuhlmann;;KRITIS / BOS-Digitalfunk;;;https://www.pmrexpo.com/;PMRExpo 2026
82;Gregor;Kuznik;;Global Information Security Officer / Zero Trust;;;https://www.we-conect.com/;Rethink! Cloud & Infrastructure Security
83;Raphael;Köllner;;Microsoft Technologies;MVP;;https://www.communitydays.org/;Copilot Community Conference Europe
84;Grant;LaFontaine;Whatnot;Live Shopping / E-Commerce;;;https://omr.com/;OMR Festival 2026
85;Mojib;Latif;GEOMAR;Klimaforschung & AI;Prof.;;https://www.inno-it.de/;INNO IT Kiel
86;Andreas;Livert;Extreme Networks;VP Sales DACH / Networking;;;https://www.inno-it.de/;INNO IT Kiel
87;Daniel;Loebenberger;OTH Amberg-Weiden;Informatik / Kryptographie;;;https://www.omnisecure.berlin/;OmniSecure 2026
88;Sylvia;Lösel;IT-Business Magazin;IT Media / Panel;;;https://www.inno-it.de/;INNO IT Kiel
89;Daniel;Maier-Johnson;Kuehne+Nagel;CISO / Enterprise Cybersecurity;;;https://dach.cyberseries.io/;DACHsec IT Security Summit 2026
90;Marian;Margraf;Freie Universität Berlin;Informatik / Digital ID;;;https://www.omnisecure.berlin/;OmniSecure 2026
91;David;Matusiewicz;FOM University;Healthcare Management / Digital Health;Prof.;;https://www.dmea.de/;DMEA 2026 – Digital Health
92;Thomas;Maurer;;Azure / Hybrid Cloud;Microsoft MVP;;https://www.cdc-germany.de/;Cloud & Datacenter Conference Germany
93;Moritz;Mayer;A1 Digital;IT Security Solutions;;;https://www.heise.de/secit;secIT 2026
94;Kevin;McDonnell;;Microsoft Technologies;MVP;;https://www.communitydays.org/;Copilot Community Conference Europe
95;Miriam;Meckel;;Communication / Technology;Prof.;;https://www.techshowfrankfurt.de/;Tech Show Frankfurt
96;Saskia;Meier-Andrae;;E-Commerce / Retail;Dr.;;https://konferenz.k5.de/;K5 Konferenz 2026
97;Frank;Mentrup;Stadt Karlsruhe;Oberbürgermeister / Patronage;;;https://www.it-trans.org/;IT-Trans 2026
98;Ludmilla;Middecke;Stadt Bielefeld;eGovernment-Strategie;;;https://kommdigitale.de/;KommDigitale 2026
99;Hermann Ludwig;Moeller;ESPI;Science / Policy;;;https://live.handelsblatt.com/;TECH by Handelsblatt
100;Marthe;Moengen;;Microsoft Fabric / Power BI;;;https://www.communitydays.org/;ColorCloud 2026
101;Pierre-Alain;Mouy;;Cybersecurity in Space / Quantum;;;https://www.heise.de/secit;secIT 2026
102;Anna;Mutska;;Conversational AI;;;https://www.ccw.eu/;CCW 2026 – Kongressmesse Kundendialog
103;Chris;Müller;Ratepay;Cybersecurity / FinTech;;;https://cybersecuritysumm.it/;Cybersecurity Summit Hamburg
104;Daniel;Müller-Gritschneder;TU Wien;Embedded Systems;;;https://www.embedded-world.de/;embedded world 2026
105;Cedrik;Neike;Siemens AG;Industrial Automation / AI;;;https://www.siemens.com/;Hannover Messe 2026
106;Laura;Nestler;;Community Building;;;https://omr.com/;OMR Festival 2026
107;Vesa;Nopanen;;Microsoft Technologies;MVP;;https://www.communitydays.org/;Copilot Community Conference Europe
108;Chuks;Ojeme;;Cybersecurity Thought Leadership;;;https://dach.cyberseries.io/;DACHsec IT Security Summit 2026
109;Björn;Ommer;LMU München;Computer Vision / AI;Prof.;;https://bigbangfestival.de/;BIG BANG KI Festival
110;Pieter;Op de Beéck;;Microsoft Technologies;MVP;;https://www.communitydays.org/;Copilot Community Conference Europe
111;Bettina;Orlopp;Commerzbank;Finance / Banking;;;https://omr.com/;OMR Festival 2026
112;Armin;Papperger;Rheinmetall;Defense & Technology;;;https://www.hannovermesse.de/;Hannover Messe 2026
113;Radia;Perlman;Internet Pioneer;Internet Infrastructure / Networking;;;https://www.cloudfest.com/;CloudFest 2026
114;Alexander;Pischon;KVV;ÖPNV-Management;;;https://www.it-trans.org/;IT-Trans 2026
115;Claudia;Plattner;BSI;Cybersecurity & AI;;;https://www.bsi.bund.de/;Hamburger IT-Strategietage, Bitkom TRANSFORM 2026, BSI IT-Sicherheitskongress
116;Carsten;Rachfahl;Rachfahl IT-Solutions;Hyper-V / Azure Stack HCI;Microsoft MVP;;https://www.cdc-germany.de/;Cloud & Datacenter Conference Germany
117;Mark;Rackley;;M365 / Copilot;Microsoft MVP;;https://collabsummit.eu/;European Collaboration Summit
118;Philip;Radlanski;Greenberg Traurig;AI / Datenschutz / Cybersecurity;Dr.;;https://www.datenschutzkongress.de/;Datenschutzkongress 2026
119;Bernd;Rattey;Deutsche Bahn;CIO / IT-Strategie;;;https://www.it-strategietage.de/;Hamburger IT-Strategietage, Handelsblatt Summit Zukunft IT
120;Christian;Raveaux;REWE Group;Customer Insights & Media;;;https://dmexco.com/;DMEXCO 2026
121;Pascal;Reiniger;;CISO / Ransomware Defense;;;https://www.we-conect.com/;Rethink! Cloud & Infrastructure Security
122;Natalie;Rodriguez;Hamburger Hochbahn;Innovation & Strategie;;;https://www.it-trans.org/;IT-Trans 2026
123;Rasmus;Rothe;Merantix AG;AI Startups / Deep Learning;Dr.;;https://riseof.ai/;Rise of AI Conference
124;Nina;Ruge;Moderation;Media / Health Communication;;;https://www.dmea.de/;DMEA 2026 – Digital Health
125;Philipp;Räther;Allianz Group;Privacy / AI Trust Officer;Dr.;;https://www.datenschutzkongress.de/;Datenschutzkongress 2026
126;Emilie;Rønning;;Microsoft Fabric / Data;;;https://www.communitydays.org/;ColorCloud 2026
127;Dona;Sarkar;Microsoft;Microsoft Copilot;Microsoft;;https://www.communitydays.org/;Copilot Community Conference Europe
128;Emma;Saroyan;;Open Source Community Building;;;https://2026.pgconf.de/;PostgreSQL Conference Germany
129;August-Wilhelm;Scheer;;IT / Wirtschaftsinformatik;Prof. Dr.;;https://it-con-messe.de/;IT.CON 2026
130;Bernd;Schlömer;CIO Sachsen-Anhalt;Digitale Verwaltung;;;https://kommdigitale.de/;KommDigitale 2026
131;Jürgen;Schmidhuber;KAUST / NNAISENSE;AI Research / Neural Networks;Prof.;;https://riseof.ai/;Rise of AI Conference
132;Dennis Kim;Schmidt;Dataport AöR;Public Sector IT Security;;;https://cybersecuritysumm.it/;Cybersecurity Summit Hamburg
133;Carsten;Schneider;Bundesregierung;Umwelt & Klima;;;https://bigbangfestival.de/;BIG BANG KI Festival
134;Sebastian;Schreiber;SySS GmbH;Cybersecurity / Penetration Testing;;;https://www.syss.de/;CloudFest 2026, Cybersecurity Summit Hamburg
135;Dirk;Schrödter;CIO Schleswig-Holstein;Digitale Verwaltung;;;https://live.handelsblatt.com/;Handelsblatt Summit Zukunft IT
136;Marcus;Schuler;F.A.Z. / implicator.ai;Technology Journalism;;;https://www.techshowfrankfurt.de/;Tech Show Frankfurt
137;Rolf;Schumann;Schwarz-Digits;AI / Technology;;;https://bigbangfestival.de/;BIG BANG KI Festival
138;Louis;Servin;;Enterprise Security Architecture;;;https://www.we-conect.com/;Rethink! Cloud & Infrastructure Security
139;Christian;Sewing;Deutsche Bank;Finance / Banking;;;https://omr.com/;OMR Festival 2026
140;Axel;Sikora;HS Offenburg;Embedded Systems;;;https://www.embedded-world.de/;embedded world 2026
141;Richard J.;Simoncic;Microchip Technology;IoT / AI Keynote;;;https://www.embedded-world.de/;embedded world 2026
142;Kristina;Sinemus;;Digital Infrastructure;Prof.;;https://www.dmea.de/;DMEA 2026 – Digital Health, Hessen Digital
143;Falk;Sippach;embarc GmbH;Software-Architektur / DDD;;;https://www.oop-konferenz.de/;OOP 2026 – Software-Architektur
144;Louisa;Specht-Riemenschneider;;Digital Health / Datenschutz;Prof.;;https://www.dmea.de/;DMEA 2026 – Digital Health
145;Christoph;Straub;Barmer (CEO);Healthcare / Digital;Prof. Dr.;;https://bigbangfestival.de/;BIG BANG KI Festival
146;Venkat;Subramaniam;Agile Developer Inc.;Java / Agile Development;Java Champion;;https://www.javaland.eu/;JavaLand 2026
147;Julie;Sweet;Accenture;Organizational Transformation / AI;;;https://www.accenture.com/;Hannover Messe 2026
148;Alexander;Thamm;Alexander Thamm GmbH;Data Science / AI;;;https://www.datafestival.de/;DATA festival München
149;Frank;Thelen;Freigeist Capital;Innovation / Investment;;;https://bigbangfestival.de/;BIG BANG KI Festival
150;Stefan;Toth;embarc GmbH;Software-Architektur;;;https://www.oop-konferenz.de/;OOP 2026 – Software-Architektur
151;Hans;Uszkoreit;;AI Research / NLP;Prof.;;https://riseof.ai/;Rise of AI Conference
152;Didier;Van Hoye;;Windows Server / Hybrid Cloud;Microsoft MVP;;https://www.cdc-germany.de/;Cloud & Datacenter Conference Germany
153;Werner;Vogels;Amazon (CTO);Technology Leadership / Cloud;Dr.;;https://www.wearedevelopers.com/;WeAreDevelopers World Congress
154;Robert;Wander;E-Government Consulting;Verwaltungsdigitalisierung;;;https://kommdigitale.de/;KommDigitale 2026
155;Nina;Warken;BM Gesundheit;Healthcare Policy / Digital Health;Bundesministerin;;https://www.dmea.de/;DMEA 2026 – Digital Health
156;Amy;Webb;Future Today Institute;Technology Trends / AI;;;https://amywebb.io/;Hannover Messe 2026
157;Yasmin;Weiß;;KI / Workplace Transformation;Prof. Dr.;;https://www.also.de/;ALSO Channel Trends & Visions
158;Isabell;Welpe;TUM;Strategie / AI;Prof. Dr.;;https://www.inno-it.de/;INNO IT Kiel
159;Swantje;Westpfahl;;Cyber Risks / Geopolitik;Dr.;;https://www.security-insider.de/;ISX IT-Security Conference Frankfurt, ISX IT-Security Conference München
160;Meredith;Whittaker;Signal;Tech / AI Policy;;;https://omr.com/;OMR Festival 2026
161;Jan;Wieremjewicz;;PostgreSQL / Legacy Systems;;;https://2026.pgconf.de/;PostgreSQL Conference Germany
162;Karsten;Wildberger;BM Digitales;Digitalpolitik;;;https://www.it-strategietage.de/;Hamburger IT-Strategietage, OMR Festival 2026, WeAreDevelopers World Congress, Handelsblatt Summit Zukunft IT, BIG BANG KI Festival
163;Zoe;Wilson;;Microsoft Technologies;MVP;;https://www.communitydays.org/;Copilot Community Conference Europe
164;Ralf;Wintergerst;Giesecke+Devrient / Bitkom;Digital Transformation / Bitkom-Präsident;;;https://www.bitkom.org/;Bitkom TRANSFORM 2026
165;Thomas;Wlazik;TikTok (GM DACH);Social Media / Marketing;;;https://dmexco.com/;DMEXCO 2026
166;Christian;Wulff;Ex-Bundespräsident;Technology / Policy;;;https://bigbangfestival.de/;BIG BANG KI Festival
167;Christian;Wuttke;Schwarz Group;Chat & Voice Technology;;;https://www.ccw.eu/;CCW 2026 – Kongressmesse Kundendialog
168;Eckart;Würzner;Stadt Heidelberg;OB / AI Policy;;;https://www.ai-conference.de/;AI Conference: Science x Business
169;Feiyu;Xu;Amber Iris AI / Uni Digital Science;AI Research / Industry;Prof.;;https://riseof.ai/;Rise of AI Conference
170;Marcel;Zehner;;Cloud & Datacenter Management;Microsoft MVP;;https://www.cdc-germany.de/;Cloud & Datacenter Conference Germany
171;Kerstin;Zettl-Schabath;;Adversary Analysis;Dr.;;https://www.security-insider.de/;ISX IT-Security Conference Frankfurt, ISX IT-Security Conference München
172;Elke;Zimmer;MdL Baden-Württemberg;Staatssekretärin Verkehr;;;https://www.it-trans.org/;IT-Trans 2026
173;Katharina;Zweig;TU Kaiserslautern;AI / Algorithmen;Prof. Dr.;;https://www.inno-it.de/;INNO IT Kiel
174;Stefan;Zörner;embarc GmbH;Software-Architektur;;;https://www.oop-konferenz.de/;OOP 2026 – Software-Architektur
