Eintrag;Kurzbeschreibung;Langbeschreibung;Lizenz-Info;Weblinks
Page Speed;Ladegeschwindigkeit von Webseiten.;Page Speed beschreibt, wie schnell Seiteninhalte geladen, gerendert und interaktiv werden. Optimierungsmassnahmen: Bildkomprimierung (WebP/AVIF), Lazy Loading, CSS/JS-Minimierung, Browser-Caching, CDN-Einsatz, Server-Antwortzeit (TTFB) reduzieren und kritischen Rendering-Pfad optimieren. Google PageSpeed Insights und GTmetrix liefern konkrete Handlungsempfehlungen.;"Google PageSpeed Insights und GTmetrix kostenlos; CDN-Dienste (Cloudflare Free-Tier verfuegbar).";https://pagespeed.web.dev/
SSL-Zertifikat;Verschluesselte HTTPS-Verbindung zwischen Browser und Server.;Ein SSL/TLS-Zertifikat verschluesselt die Datenübertragung, authentifiziert den Server und ist Voraussetzung fuer HTTPS. Seit 2014 ist HTTPS ein Google-Rankingfaktor. Typen: DV (Domain Validated), OV (Organization Validated), EV (Extended Validation). Let's Encrypt bietet kostenlose DV-Zertifikate mit 90-Tage-Laufzeit und automatischer Erneuerung.;"Let's Encrypt kostenlos; OV/EV-Zertifikate bei CAs (DigiCert, Sectigo) kostenpflichtig.";https://letsencrypt.org/docs/
Content-Strategie;Systematische Planung von Themen, Formaten und Zielgruppen.;Eine Content-Strategie definiert, welche Inhalte fuer welche Zielgruppe in welchem Format und auf welchem Kanal veroeffentlicht werden. Sie umfasst Themenrecherche, Redaktionsplan, Content-Erstellung, Distribution, Performance-Messung und Content-Updates. Ziel: nachhaltige Sichtbarkeit, Autoritaet und Nutzerbindung aufbauen.;"Organisatorisch; unterstuetzt durch Redaktionsplanung (Trello, Notion, CoSchedule).";https://developers.google.com/search/docs/fundamentals/creating-helpful-content
Keyword-Recherche;Ermittlung relevanter Suchbegriffe und Suchintentionen.;Keyword-Recherche identifiziert Suchbegriffe, die die Zielgruppe verwendet, bewertet Suchvolumen, Wettbewerb und Suchintention (informational, navigational, transactional) und clustert Keywords thematisch. Ergebnis: priorisierte Keyword-Liste als Grundlage fuer Content-Planung und OnPage-Optimierung. Tools: Google Keyword Planner, Ahrefs, Semrush, Ubersuggest.;"Google Keyword Planner kostenlos (mit Google Ads Konto); Ahrefs/Semrush kostenpflichtig; Ubersuggest Freemium.";https://developers.google.com/search/docs/fundamentals/seo-starter-guide
Meta Description;Kurzbeschreibung einer Seite in den Suchergebnissen.;Die Meta Description ist ein HTML-Meta-Tag, der den Seiteninhalt in ca. 155-160 Zeichen zusammenfasst. Sie erscheint als Snippet-Text in den Suchergebnissen und beeinflusst die Klickrate (CTR), ist aber kein direkter Rankingfaktor. Jede Seite sollte eine einzigartige, handlungsorientierte Meta Description erhalten.;"Keine Kosten; Umsetzung im CMS oder HTML.";https://developers.google.com/search/docs/appearance/snippet
Title Tag;Seitentitel als wichtigstes OnPage-SEO-Signal.;Der Title Tag (HTML <title>) erscheint im Browser-Tab und als klickbare Ueberschrift in den Suchergebnissen. Er ist einer der staerksten OnPage-Rankingfaktoren. Best Practices: Primaer-Keyword vorn, maximal 60 Zeichen, einzigartig pro Seite, markenrelevanter Zusatz am Ende (z. B. '| Firmenname').;"Keine Kosten; Umsetzung im CMS oder HTML.";https://developers.google.com/search/docs/appearance/title-link
Redirect Management;Steuerung von Weiterleitungen fuer Nutzer und Suchmaschinen.;Redirect Management stellt sicher, dass geaenderte oder geloeschte URLs per 301 (permanent) oder 302 (temporaer) auf gueltige Ziele weiterleiten. Saubere Redirects erhalten Link-Equity, vermeiden 404-Fehler und schuetzen die Nutzererfahrung. Bei Relaunches ist ein Redirect-Mapping (alte URL > neue URL) Pflicht.;"Keine Kosten; Umsetzung per .htaccess, Nginx-Config, CMS-Plugin oder CDN-Regeln.";https://developers.google.com/search/docs/crawling-indexing/301-redirects
XML Sitemap;Strukturierte URL-Liste fuer Suchmaschinen.;Eine XML Sitemap listet die wichtigsten URLs einer Website mit optionalen Angaben zu Aenderungsdatum, Prioritaet und Aktualisierungsfrequenz. Sie wird in der Google Search Console und Bing Webmaster Tools eingereicht und hilft Suchmaschinen, neue oder geaenderte Seiten schneller zu entdecken.;"Kostenlos; automatische Generierung ueber CMS-Plugins (Yoast, Rank Math) oder Screaming Frog.";https://developers.google.com/search/docs/crawling-indexing/sitemaps/overview
robots.txt;Crawler-Anweisungen fuer erlaubte und gesperrte Bereiche.;Die robots.txt-Datei im Root-Verzeichnis einer Website gibt Suchmaschinen-Crawlern Hinweise, welche Verzeichnisse oder Dateien sie crawlen duerfen oder meiden sollen (Disallow). Sie ist kein Sicherheitsmechanismus (URLs bleiben erreichbar), sondern steuert das Crawl-Budget. Fehlkonfigurationen koennen die gesamte Indexierung blockieren.;"Kostenlos; manuelle Erstellung oder CMS-generiert.";https://developers.google.com/search/docs/crawling-indexing/robots/intro
Tracking Setup;Technische Einrichtung von Analyse- und Conversion-Messung.;Ein Tracking Setup implementiert Analyse-Tools (Google Analytics 4, Matomo), Tag-Management (Google Tag Manager), Conversion-Tracking (Google Ads, Meta Pixel) und Event-Tracking auf einer Website. DSGVO-konformes Setup erfordert Cookie-Consent-Management (z. B. Cookiebot, Borlabs) und ggf. serverseitiges Tagging.;"Google Analytics und Tag Manager kostenlos; Matomo Open Source; Consent-Tools teils kostenpflichtig.";https://developers.google.com/analytics/devguides/collection/ga4
Analytics Dashboard;Uebersichtliche Auswertung von Web- und Marketing-Kennzahlen.;Ein Analytics Dashboard buendelt KPIs wie Seitenaufrufe, Verweildauer, Absprungrate, Conversion Rate, Traffic-Quellen und Top-Seiten in einer visuellen Uebersicht. Tools: Google Analytics 4 (nativ), Looker Studio (kostenlos), Matomo-Dashboards, Power BI oder Grafana fuer individuelle Anforderungen.;"Google Analytics und Looker Studio kostenlos; Power BI Pro in M365 E5 oder separat.";https://lookerstudio.google.com/
Kontaktformular;Strukturierter Einstiegspunkt fuer Anfragen auf der Website.;"Ein Kontaktformular erfasst Name, E-Mail, Betreff und Nachricht und leitet die Anfrage per E-Mail oder an ein CRM/Ticket-System weiter. Spam-Schutz (reCAPTCHA, Honeypot), DSGVO-Hinweis und Bestaetigungsseite sind Pflichtbestandteile. In WordPress: Contact Form 7, WPForms, Gravity Forms; in Custom-CMS per HTML/PHP oder API.";"Contact Form 7 kostenlos; WPForms/Gravity Forms Premium kostenpflichtig.";https://web.dev/learn/forms
Barrierefreiheit im Web;Zugaenglichkeit digitaler Inhalte fuer alle Nutzergruppen.;Web Accessibility (a11y) stellt sicher, dass Websites auch fuer Menschen mit Seh-, Hoer-, Motorik- oder kognitiven Einschraenkungen nutzbar sind. Standards: WCAG 2.1/2.2 (Stufen A, AA, AAA). Massnahmen: semantisches HTML, Alt-Texte, Tastaturnavigation, ausreichende Kontraste, ARIA-Attribute und Screenreader-Kompatibilitaet. Ab 2025 gilt das Barrierefreiheitsstaerkungsgesetz (BFSG) in Deutschland.;"Umsetzung ohne Toolkosten; Pruefung mit Lighthouse, axe DevTools (kostenlos) oder WAVE.";https://web.dev/explore/accessible
Bildoptimierung;Komprimierung, Formatwahl und Auslieferung von Website-Bildern.;Bildoptimierung reduziert Dateigroessen ohne sichtbaren Qualitaetsverlust durch moderne Formate (WebP, AVIF), responsive Bildgroessen (srcset), Lazy Loading und CDN-Auslieferung. Grosse, unkomprimierte Bilder sind haeufigste Ursache fuer langsame Ladezeiten. Alt-Texte verbessern Barrierefreiheit und Bild-SEO.;Kostenlos: Squoosh, ShortPixel Free-Tier, CMS-Plugins (Imagify, EWWW).;https://web.dev/articles/fast#optimize_your_images
Blog-Strategie;Themenplanung und Veroeffentlichungsrhythmus fuer nachhaltigen Content.;Eine Blog-Strategie verbindet Keyword-Recherche, Suchintention und Themencluster zu einem Redaktionsplan. Regelmaessige, qualitativ hochwertige Beitraege bauen thematische Autoritaet auf, generieren organischen Traffic und stuetzen interne Verlinkung. Evergreen-Content und regelmaessige Updates bestehender Artikel erhoehen die Langzeitwirkung.;"Organisatorisch; CMS und SEO-Tools fuer Umsetzung und Analyse.";https://developers.google.com/search/docs/fundamentals/creating-helpful-content
