Eintrag;Kurzbeschreibung;Langbeschreibung;Lizenz-Info;MS Learn / Weblinks
Azure Site Recovery;Disaster-Recovery-Dienst mit Replikation und Failover.;Azure Site Recovery (ASR) repliziert VMs, physische Server und VMware-Workloads kontinuierlich nach Azure oder zwischen Regionen. Im Ernstfall ermoeglicht ein orchestriertes Failover die schnelle Wiederherstellung. Recovery-Plaene definieren Reihenfolge und Abhaengigkeiten.;Kosten pro geschuetzter Instanz plus Speicher und Netzwerkverkehr.;https://learn.microsoft.com/azure/site-recovery/site-recovery-overview
Azure Key Vault;Verwalteter Tresor fuer Geheimnisse, Zertifikate und Schluessel.;Azure Key Vault speichert und verwaltet Secrets, Zertifikate und kryptografische Schluessel zentral und HSM-gesichert. Anwendungen und Dienste greifen per RBAC oder Access Policies auf die Vault-Inhalte zu. Integration in App Service, Functions, AKS und DevOps-Pipelines.;"Standard und Premium (mit HSM); Abrechnung nach Operationen.";https://learn.microsoft.com/azure/key-vault/general/overview
Azure Monitor;Monitoring-Plattform fuer Metriken, Logs und Alerts.;Azure Monitor sammelt Telemetriedaten aus Azure-Ressourcen, Anwendungen (Application Insights), Gastbetriebssystemen und Custom Sources. Metriken, Logs, Warnungen, Dashboards und Workbooks ermoeglichen durchgaengige Ueberwachung und Diagnose.;"Basismetriken kostenlos; Log Analytics und erweiterte Features nach Datenvolumen.";https://learn.microsoft.com/azure/azure-monitor/overview
Log Analytics;Analysewerkzeug fuer Azure-Logs mit KQL-Abfragen.;Log Analytics ist der Abfrage- und Analysebereich innerhalb von Azure Monitor. Daten aus VMs, Azure-Diensten, Containern und Sicherheitsquellen werden in einem Log Analytics Workspace gesammelt und mit Kusto Query Language (KQL) ausgewertet.;Kosten nach eingespeistem Datenvolumen (Pay-as-you-go oder Commitment Tiers).;https://learn.microsoft.com/azure/azure-monitor/logs/log-analytics-overview
Azure Policy;Governance-Dienst fuer Konfigurations- und Compliance-Regeln.;Azure Policy definiert und erzwingt Regeln fuer Azure-Ressourcen (z. B. erlaubte Regionen, SKUs, Tags, Verschluesselung). Policies koennen Audit-only arbeiten oder non-compliant-Deployments aktiv verhindern. Initiatives buendeln mehrere Policies.;"Kostenlos fuer Azure-Ressourcen; Gastkonfiguration und Arc-Szenarien teils kostenpflichtig.";https://learn.microsoft.com/azure/governance/policy/overview
Azure Virtual Desktop;Verwaltete virtuelle Windows-Arbeitsplaetze aus Azure.;Azure Virtual Desktop (AVD) stellt Windows 10/11 Multi-Session oder Einzelsitzungen als gehostete Desktops bereit. Benutzer greifen per RDP-Client, Browser oder Thin Client zu. Skalierung, Profile (FSLogix), Sicherheit und Netzwerk werden zentral gesteuert.;"Kein AVD-Lizenzaufpreis mit M365 E3/E5 oder Windows E3/E5; VM-Compute und Storage separat.";https://learn.microsoft.com/azure/virtual-desktop/overview
Azure SQL Database;Verwalteter relationaler Datenbankdienst (SQL Server).;Azure SQL Database bietet eine vollstaendig verwaltete SQL-Server-Instanz als PaaS mit automatischem Patching, Backups, Geo-Replikation und intelligentem Tuning. Bereitstellungsoptionen: Einzeldatenbank, Elastic Pool oder Managed Instance.;"DTU- oder vCore-basierte Abrechnung; serverless Tier fuer variable Last.";https://learn.microsoft.com/azure/azure-sql/database/sql-database-paas-overview
Azure Container Registry;Verwaltete Registry fuer Container-Images und OCI-Artefakte.;Azure Container Registry (ACR) speichert und verwaltet Docker-Images, Helm-Charts und OCI-Artefakte. Geo-Replikation, Image-Scanning und Task-basierte Builds sind integriert. ACR ist die Standard-Registry fuer AKS, App Service und Azure Functions.;"Basic, Standard, Premium; Abrechnung nach Tier und Speicherverbrauch.";https://learn.microsoft.com/azure/container-registry/container-registry-intro
Azure Kubernetes Service;Verwalteter Kubernetes-Cluster in Azure.;AKS stellt Control Plane als verwalteten Dienst bereit, waehrend Kunden die Worker-Nodes definieren. Features: Auto-Scaling, RBAC, Azure CNI, Monitoring mit Container Insights, GitOps-Integration und Policy-Enforcement. Ideal fuer containerisierte Microservices.;"Control Plane kostenlos; Kosten fuer VMs, Storage, Netzwerk und optionale Add-ons.";https://learn.microsoft.com/azure/aks/intro-kubernetes
Azure Front Door;Globaler Load Balancer mit CDN, WAF und Edge-Routing.;Azure Front Door beschleunigt Webanwendungen durch globales Anycast-Routing, Caching, SSL-Offloading und integrierte Web Application Firewall (WAF). Health Probes, Session Affinity und regelbasiertes Routing steuern den Datenverkehr zu Backend-Pools.;"Standard und Premium; Abrechnung nach Anfragen, Datenverkehr und WAF-Regeln.";https://learn.microsoft.com/azure/frontdoor/front-door-overview
Application Gateway;Layer-7-Load-Balancer mit WAF und SSL-Terminierung.;Application Gateway verteilt HTTP/HTTPS-Anfragen auf Backend-Pools mit URL-basiertem Routing, Cookie-Affinity, SSL-Terminierung und Web Application Firewall (WAF v2). Einsatz typisch fuer regionale Webanwendungen hinter einem VNet.;"v1 und v2; Abrechnung nach Gateway-Stunden und verarbeiteten Daten.";https://learn.microsoft.com/azure/application-gateway/overview
Azure Bastion;Sicherer RDP/SSH-Zugriff auf VMs ohne oeffentliche IPs.;Azure Bastion stellt einen verwalteten Jump-Host im VNet bereit, ueber den Admins per Browser oder nativen Client auf VMs zugreifen, ohne oeffentliche Ports zu oeffnen. TLS-geschuetzt, auditierbar und ohne zusaetzliche Agent-Installation.;"Basic, Standard und Premium SKU; Abrechnung nach Stunden und Datenverkehr.";https://learn.microsoft.com/azure/bastion/bastion-overview
Managed Identity;Azure-Ressource mit verwalteter Identitaet fuer Zugriff ohne Secrets.;Managed Identities stellen Azure-Ressourcen (VMs, App Services, Functions, AKS etc.) automatisch eine Entra-ID-Identitaet bereit. Der Dienst bezieht Tokens ohne gespeicherte Passwoerter oder Secrets. System Assigned ist an eine Ressource gebunden, User Assigned ist wiederverwendbar.;"Kostenlos; Teil von Entra ID.";https://learn.microsoft.com/entra/identity/managed-identities-azure-resources/overview
Azure Landing Zone;Referenzarchitektur fuer Governance und Netzwerk in Azure.;Eine Azure Landing Zone definiert die Zielarchitektur fuer Subscriptions, Netzwerktopologie (Hub-Spoke oder Virtual WAN), Identitaet, Governance, Sicherheit und Betrieb. Microsoft stellt Referenzimplementierungen (Enterprise-Scale) als Accelerator bereit.;"Kostenlos als Architekturkonzept; Ressourcenkosten abhaengig von Implementierung.";https://learn.microsoft.com/azure/cloud-adoption-framework/ready/landing-zone/
Cost Management;Kostenanalyse, Budgetierung und Optimierung fuer Azure.;Azure Cost Management liefert Kostenaufschluesselungen, Budgetwarnungen, Anomalie-Erkennung und Reservierungsempfehlungen. Daten koennen nach Subscription, Resource Group, Tags und Dienst gefiltert und exportiert werden.;"Kostenlos fuer Azure-Verbrauchsanalyse; AWS-Konnektor optional.";https://learn.microsoft.com/azure/cost-management-billing/costs/overview-cost-management
Azure Active Directory;Fruehere Bezeichnung fuer Microsoft Entra ID.;Azure Active Directory (Azure AD) war der Name des Cloud-Identitaetsdienstes von Microsoft bis zur Umbenennung in Microsoft Entra ID (2023). Alle Dokumentation und Portale verweisen mittlerweile auf Entra ID. Funktionalitaet und Lizenzen sind identisch.;Siehe Microsoft Entra ID (Free, P1, P2).;https://learn.microsoft.com/entra/fundamentals/whatis
Azure AD Connect;Synchronisierungstool fuer on-premises AD und Entra ID.;Azure AD Connect (jetzt Entra Connect / Entra Connect Sync) synchronisiert Benutzer, Gruppen und Kontakte aus dem lokalen Active Directory nach Microsoft Entra ID. Authentifizierungsmethoden: Password Hash Sync, Pass-through Authentication, Federation. Entra Cloud Sync ist die neuere Alternative.;"Kostenlos; Entra Cloud Sync ebenfalls ohne Zusatzkosten.";https://learn.microsoft.com/entra/identity/hybrid/connect/whatis-azure-ad-connect
APP-ID / Client-ID;Eindeutige Kennung einer registrierten Anwendung in Entra ID.;Die Application ID (Client ID) wird bei der App-Registrierung in Entra ID automatisch generiert. Sie identifiziert die Anwendung bei OAuth-2.0-Flows, Token-Anfragen und API-Aufrufen. Jede App-Registrierung erhaelt genau eine Client-ID.;"Kostenlos; Teil jeder Entra-ID-Instanz.";https://learn.microsoft.com/entra/identity-platform/quickstart-register-app
Anwendungsmanifest;JSON-Konfiguration einer registrierten App in Entra ID.;Das Anwendungsmanifest beschreibt Berechtigungen (requiredResourceAccess), Redirect-URIs, Token-Konfigurationen, Rollen und weitere Eigenschaften einer App-Registrierung. Es kann im Portal oder per API bearbeitet werden.;"Kostenlos; Teil der App-Registrierung in Entra ID.";https://learn.microsoft.com/entra/identity-platform/reference-app-manifest
Azure Resource Manager;Steuerungsebene fuer Bereitstellung und Verwaltung von Azure-Ressourcen.;Azure Resource Manager (ARM) ist die API-Schicht, ueber die alle Azure-Ressourcen erstellt, aktualisiert und geloescht werden. ARM verarbeitet Anfragen von Portal, CLI, PowerShell, SDKs und Infrastruktur-as-Code-Tools (ARM Templates, Bicep, Terraform).;"Kostenlos; ARM-API ist der Standard-Zugang zu Azure.";https://learn.microsoft.com/azure/azure-resource-manager/management/overview
Azure Resource Manager Templates;Deklarative JSON-Vorlagen fuer reproduzierbare Azure-Deployments.;ARM Templates definieren Infrastruktur als Code im JSON-Format. Sie beschreiben Ressourcen, Abhaengigkeiten, Parameter und Outputs fuer wiederholbare, idempotente Deployments. Fuer neue Projekte empfiehlt Microsoft die Nachfolgesprache Bicep.;"Kostenlos; nur die bereitgestellten Ressourcen verursachen Kosten.";https://learn.microsoft.com/azure/azure-resource-manager/templates/overview
Azure Resource Graph;Schnelle, abonnementuebergreifende Abfrage von Azure-Ressourcen.;Azure Resource Graph ermoeglicht KQL-basierte Abfragen ueber alle Azure-Ressourcen und deren Eigenschaften hinweg, ohne jeden Dienst einzeln abzufragen. Ideal fuer Inventar, Compliance-Berichte und Governance-Dashboards.;Kostenlos.;https://learn.microsoft.com/azure/governance/resource-graph/overview
Azure Automation;Dienst fuer Runbooks, DSC und Updateverwaltung.;Azure Automation fuehrt PowerShell- oder Python-Runbooks aus, verwaltet Desired State Configuration (DSC) und koordiniert Update-Deployments. Hybrid Runbook Worker ermoeglichen die Ausfuehrung auf lokalen Servern.;"500 Minuten/Monat kostenlos; darueber hinaus pro Job-Minute.";https://learn.microsoft.com/azure/automation/overview
Azure Batch;Verwalteter Dienst fuer parallele und HPC-Workloads.;Azure Batch plant und fuehrt grosse Mengen paralleler Rechenaufgaben auf dynamisch skalierten VM-Pools aus. Szenarien: Renderingm Media-Encoding, Monte-Carlo-Simulationen, wissenschaftliche Berechnungen.;"Kein Batch-Aufpreis; nur VM-Compute- und Speicherkosten.";https://learn.microsoft.com/azure/batch/batch-technical-overview
Azure Blueprints;Governance-Vorlagen fuer Subscriptions (veraltet).;Azure Blueprints stellte paketierte Vorlagen fuer Policies, RBAC-Rollen und ARM-Templates bereit, um neue Subscriptions standardisiert zu konfigurieren. Microsoft empfiehlt stattdessen Azure Deployment Environments, Template Specs und Policy-Initiativen.;"Veraltet; Nachfolger: Deployment Environments + Policy Initiatives.";https://learn.microsoft.com/azure/governance/blueprints/overview
Azure CLI;Kommandozeilenschnittstelle fuer Azure-Verwaltung.;Die Azure CLI (az) ist ein plattformuebergreifendes Tool fuer die Verwaltung von Azure-Ressourcen per Terminal. Sie eignet sich fuer Scripting, Automatisierung und interaktive Administration. Installation auf Windows, macOS, Linux und Azure Cloud Shell.;"Kostenlos; Open Source.";https://learn.microsoft.com/cli/azure/what-is-azure-cli
Azure Cache for Redis;Verwalteter In-Memory-Cache fuer schnelle Datenzugriffe.;Azure Cache for Redis stellt einen vollstaendig verwalteten Redis-kompatiblen Cache bereit fuer Session-Speicher, Output-Caching, Leaderboards und Echtzeit-Analysen. Clustering, Geo-Replikation und Persistenz sind verfuegbar.;"Basic, Standard, Premium, Enterprise; Abrechnung nach Tier und Groesse.";https://learn.microsoft.com/azure/azure-cache-for-redis/cache-overview
Azure Cognitive Services;KI-APIs fuer Sprache, Bild, Entscheidung und Suche (jetzt Azure AI Services).;Azure Cognitive Services (umbenannt in Azure AI Services) stellt vorgefertigte KI-Modelle als APIs bereit: Computer Vision, Speech, Language Understanding, Translator, Anomaly Detector u.v.m. Integration in Apps ohne eigenes ML-Training.;"Free-Tier verfuegbar; Standard nach API-Aufrufen und Transaktionen.";https://learn.microsoft.com/azure/ai-services/what-are-ai-services
Azure Communication Services;APIs fuer Chat, Telefonie, Video und SMS in eigenen Apps.;Azure Communication Services (ACS) ermoeglicht Entwicklern, Kommunikationsfunktionen (VoIP, PSTN, Video, Chat, SMS, E-Mail) in eigene Anwendungen zu integrieren, basierend auf derselben Infrastruktur wie Microsoft Teams.;Pay-as-you-go nach Nutzung (Minuten, Nachrichten, Teilnehmer).;https://learn.microsoft.com/azure/communication-services/overview
Azure Container Instances;Schnelle Container-Ausfuehrung ohne Cluster.;Azure Container Instances (ACI) startet Container direkt als verwaltete Instanzen ohne Kubernetes-Overhead. Ideal fuer kurzlebige Jobs, CI/CD-Tasks, Burst-Szenarien und einfache Microservices. Unterstuetzt Linux- und Windows-Container.;Abrechnung nach vCPU-Sekunden und Speicher-GB-Sekunden.;https://learn.microsoft.com/azure/container-instances/container-instances-overview
Azure Cosmos DB;Global verteilte, multi-model NoSQL-Datenbank.;Azure Cosmos DB bietet garantierte einstellige Millisekunden-Latenz, automatische Geo-Replikation, mehrere Konsistenzmodelle und APIs fuer SQL, MongoDB, Cassandra, Gremlin und Table. Ideal fuer global skalierte Anwendungen mit hoher Verfuegbarkeit.;"Abrechnung nach Request Units (RU/s) und Speicher; Serverless-Option verfuegbar.";https://learn.microsoft.com/azure/cosmos-db/introduction
Azure Data Factory;Integrationsdienst fuer Datenpipelines und ETL/ELT.;Azure Data Factory orchestriert Datenbewegungen und Transformationen zwischen ueber 90 Quellen und Zielen. Pipelines bestehen aus Aktivitaeten (Copy, Data Flow, Lookup etc.) und koennen zeitgesteuert oder ereignisbasiert ausgeloest werden.;Abrechnung nach Pipeline-Ausfuehrungen, Datenfluss-Clusterstunden und Integration Runtime.;https://learn.microsoft.com/azure/data-factory/introduction
Azure Data Lake;Skalierbarer Datenspeicher fuer analytische Workloads.;Azure Data Lake Storage Gen2 kombiniert Azure Blob Storage mit hierarchischem Namespace (HNS) fuer performante Big-Data-Analysen. Kompatibel mit Hadoop, Spark, Databricks und Synapse Analytics. POSIX-kompatible ACLs ermoeglichen feingranulare Zugriffskontrolle.;Kosten wie Blob Storage (Hot/Cool/Archive) plus HNS-Zuschlag.;https://learn.microsoft.com/azure/storage/blobs/data-lake-storage-introduction
Azure Databricks;Verwaltete Apache-Spark-Plattform fuer Datenanalyse und ML.;Azure Databricks bietet kollaborative Notebooks, Delta Lake, MLflow-Integration und Unity Catalog fuer Daten-Engineering, Data Science und ML-Workflows. Gemeinsam mit Azure Synapse und Data Factory bildet es die Azure-Datenplattform.;Abrechnung nach Databricks Units (DBU) plus VM-Compute.;https://learn.microsoft.com/azure/databricks/introduction/
Azure Dedicated Host;Exklusiver physischer Server fuer Azure-VMs.;Azure Dedicated Host stellt einen vollstaendigen physischen Server bereit, der nur von einem einzelnen Kunden genutzt wird. Szenarien: regulatorische Anforderungen (Hardware-Isolation), Lizenz-Compliance (BYOL), kontrollierte Wartungsfenster.;Abrechnung pro Host, unabhaengig von der Anzahl platzierter VMs.;https://learn.microsoft.com/azure/virtual-machines/dedicated-hosts
Azure DevOps;Plattform fuer Planung, Repos, Pipelines und Artefakte.;Azure DevOps buendelt Boards (Arbeitsplanung), Repos (Git-basiert), Pipelines (CI/CD), Test Plans und Artifacts in einer integrierten DevOps-Plattform. Verfuegbar als Cloud-Dienst (dev.azure.com) und on-premises (Azure DevOps Server).;"Basic-Plan fuer 5 Benutzer kostenlos; darueber hinaus per User/Monat.";https://learn.microsoft.com/azure/devops/user-guide/what-is-azure-devops
Azure Disk Storage;Verwaltete Datentraeger fuer Azure-VMs.;Azure Disk Storage bietet Managed Disks in verschiedenen Leistungsklassen: Ultra Disk, Premium SSD v2, Premium SSD, Standard SSD und Standard HDD. Snapshots, Verschluesselung (PMK/CMK), Shared Disks und Burst-Faehigkeiten sind verfuegbar.;Abrechnung nach Disk-Typ, Groesse und bereitgestelltem IOPS/Throughput.;https://learn.microsoft.com/azure/virtual-machines/managed-disks-overview
Azure Event Grid;Ereignisverteilung in Echtzeit (Publish-Subscribe).;Azure Event Grid routet Ereignisse von Azure-Diensten, eigenen Anwendungen und SaaS-Partnern an Subscriber (Functions, Logic Apps, Webhooks, Event Hubs etc.). Filterung und Dead-Lettering sind integriert. Ideal fuer ereignisgesteuerte Architekturen.;Abrechnung nach Anzahl der Operationen (Events).;https://learn.microsoft.com/azure/event-grid/overview
Azure Event Hubs;Skalierbare Event-Streaming-Plattform fuer hohen Durchsatz.;Azure Event Hubs nimmt Millionen Events pro Sekunde entgegen und speichert sie fuer die Verarbeitung durch Consumer (Stream Analytics, Functions, Databricks, Kafka-Clients). Kafka-kompatibles Protokoll ist nativ verfuegbar.;"Basic, Standard, Premium und Dedicated; nach Throughput Units oder Processing Units.";https://learn.microsoft.com/azure/event-hubs/event-hubs-about
Azure ExpressRoute;Private, dedizierte Netzwerkverbindung zu Azure.;ExpressRoute stellt ueber einen Connectivity-Provider eine private Layer-2/Layer-3-Verbindung zwischen eigenem Rechenzentrum und Azure her. Vorteile: niedrige Latenz, hohe Bandbreite (bis 100 Gbit/s), keine Internetexposition. Peering-Optionen: Private, Microsoft.;Abrechnung nach Port-Geschwindigkeit, Metering-Plan und ggf. Premium-Add-on.;https://learn.microsoft.com/azure/expressroute/expressroute-introduction
Azure Firewall;Verwaltete, zustandsbehaftete Netzwerkfirewall.;Azure Firewall schuetzt VNets mit Anwendungs-, Netzwerk- und DNAT-Regeln. Premium bietet TLS-Inspection, IDPS und URL-Filterung. Zentrale Verwaltung ueber Firewall Manager und Firewall Policies ermoeglichen konsistente Regeln ueber mehrere Hubs.;"Standard und Premium; Abrechnung nach Bereitstellungsstunden und verarbeiteten Daten.";https://learn.microsoft.com/azure/firewall/overview
Azure Firewall Manager;Zentrale Verwaltung fuer Azure-Firewall-Richtlinien.;Azure Firewall Manager verwaltet Firewall Policies, Secured Virtual Hubs und DDoS-Schutz uebergreifend. In Virtual-WAN-Szenarien werden Secured Hubs direkt provisioniert. Ideal fuer Organisationen mit mehreren Hubs oder Regionen.;"Keine separaten Kosten; Firewall-Instanzen werden separat abgerechnet.";https://learn.microsoft.com/azure/firewall-manager/overview
Azure IoT Hub;Zentrale Kommunikationsplattform fuer IoT-Geraete.;Azure IoT Hub ermoeglicht bidirektionale Kommunikation zwischen Millionen IoT-Geraeten und Cloud-Backends. Features: Geraeteprovisionierung, Nachrichtenrouting, Device Twins, Direct Methods und Edge-Deployment-Verwaltung.;"Free, Basic und Standard Tier; nach Nachrichtenvolumen.";https://learn.microsoft.com/azure/iot-hub/iot-concepts-and-iot-hub
Azure Lighthouse;Delegierte Verwaltung ueber mehrere Azure-Tenants.;Azure Lighthouse ermoeglicht Service Providern und zentralen IT-Teams, Azure-Ressourcen in Kunden- oder Tochtergesellschafts-Subscriptions zu verwalten, ohne den Tenant zu wechseln. Zugriff wird per ARM-Template oder Managed-Service-Angebot delegiert.;"Kostenlos; nur die verwalteten Ressourcen verursachen Kosten.";https://learn.microsoft.com/azure/lighthouse/overview
Azure Load Balancer;Layer-4-Lastverteilung fuer Azure-Netzwerkverkehr.;Azure Load Balancer verteilt eingehenden TCP/UDP-Verkehr auf Backend-Instanzen (VMs, VMSS, IPs) anhand von Health Probes und Verteilungsregeln. Verfuegbar als Public (Internet-facing) oder Internal (VNet-intern) in Basic und Standard SKU.;"Basic kostenlos; Standard nach Regeln und verarbeitetem Datenverkehr.";https://learn.microsoft.com/azure/load-balancer/load-balancer-overview
Azure Logic Apps;Low-Code-Workflow-Automatisierung zwischen Diensten und APIs.;Azure Logic Apps erstellt visuelle Workflows mit Hunderten vorgefertigten Konnektoren fuer Microsoft-Dienste, SaaS-Anwendungen und benutzerdefinierte APIs. Szenarien: Systemintegration, B2B-Kommunikation, Datenorchestrierung, Genehmigungsflows.;Consumption (pay-per-action) oder Standard (App-Service-basiert).;https://learn.microsoft.com/azure/logic-apps/logic-apps-overview
Azure Logic App Connectors;Vorgefertigte Integrationsbausteine fuer Logic Apps.;Connectors stellen Trigger und Actions bereit, die Logic Apps mit Diensten wie Office 365, SharePoint, SQL, SAP, Salesforce, HTTP u.v.m. verbinden. Managed Connectors laufen in Azure, On-Premises-Gateway-Connectors erreichen lokale Systeme.;"Standard-Connectors in Consumption enthalten; Premium- und Enterprise-Connectors separat.";https://learn.microsoft.com/azure/connectors/introduction
Azure Machine Learning;Plattform fuer ML-Entwicklung, Training und Bereitstellung.;Azure Machine Learning bietet Notebooks, AutoML, Designer (Low-Code), verwaltete Compute-Cluster, Modellregistrierung, Endpunkt-Bereitstellung und MLOps-Pipelines. Integration mit VS Code, Databricks und Open-Source-Frameworks (PyTorch, TensorFlow, scikit-learn).;Abrechnung nach Compute, Speicher und optionalen Managed Endpoints.;https://learn.microsoft.com/azure/machine-learning/overview-what-is-azure-machine-learning
Azure Managed Applications;Verwaltete Loesungen in Kundensubscriptions.;Azure Managed Applications ermoeglichen ISVs und internen Teams, vollstaendige Loesungen (ARM-basiert) bereitzustellen, bei denen der Anbieter die Verwaltung uebernimmt. Kunden nutzen die Anwendung, ohne die zugrunde liegenden Ressourcen direkt zu veraendern.;Abhaengig von den enthaltenen Ressourcen und ggf. ISV-Gebuehren.;https://learn.microsoft.com/azure/azure-resource-manager/managed-applications/overview
Azure Migrate;Bewertung und Migration von Workloads nach Azure.;Azure Migrate bietet Tools zur Ermittlung (Discovery), Bewertung (Assessment) und Migration von Servern, Datenbanken, Web-Apps und VDI-Umgebungen. Agentless- und Agent-basierte Szenarien werden unterstuetzt. Integration mit Partner-Tools (Carbonite, Cloudamize etc.).;"Kostenloses Hub-Portal; nur migrierte Ressourcen verursachen Azure-Kosten.";https://learn.microsoft.com/azure/migrate/migrate-services-overview
Azure Monitor Logs;Protokollbasierte Analyseebene in Azure Monitor.;"Azure Monitor Logs sammelt und speichert Logdaten aus Azure-Ressourcen, Gastbetriebssystemen, Anwendungen und benutzerdefinierten Quellen in Log Analytics Workspaces. Abfragen erfolgen per KQL; Ergebnisse fliessen in Alerts, Workbooks und Dashboards.";Kosten nach Datenvolumen und Aufbewahrungsdauer.;https://learn.microsoft.com/azure/azure-monitor/logs/data-platform-logs
Azure Network Watcher;Diagnose- und Analysewerkzeuge fuer Azure-Netzwerke.;Network Watcher bietet IP-Flow-Verify, NSG-Flow-Logs, Connection Monitor, Paketerfassung und Topologie-Ansichten fuer die Netzwerkdiagnose. Unverzichtbar fuer Troubleshooting von Konnektivitaetsproblemen in VNets.;"Basistools kostenlos; Flow Logs erzeugen Log-Analytics- und Storage-Kosten.";https://learn.microsoft.com/azure/network-watcher/network-watcher-monitoring-overview
