Eintrag;Kurzbeschreibung;Langbeschreibung;Lizenz-Info;MS Learn / Weblinks
Teams Telefonie;Cloud-Telefonie-Integration in Microsoft Teams.;Teams Telefonie ersetzt oder ergaenzt klassische TK-Anlagen durch Phone System, Calling Plans oder Direct Routing / Operator Connect. Auto-Attendant, Anrufwarteschlangen und Voicemail werden direkt in Teams verwaltet.;"Phone System in E5 enthalten; Calling Plans oder SBC separat.";https://learn.microsoft.com/microsoftteams/cloud-voice-landing-page
Microsoft Planner;Visuelles Aufgabenboard fuer Teamplanung.;Microsoft Planner bietet Kanban-Boards, Aufgabenzuweisung, Faelligkeiten, Labels und Fortschrittsdiagramme. Plaene sind an M365-Gruppen gebunden und lassen sich als Tab in Teams einbinden. Seit 2024 werden Planner und To Do enger zusammengefuehrt.;Enthalten in Business Basic+, E1, E3, E5.;https://learn.microsoft.com/office365/planner/planner-for-admins
Microsoft To Do;Persoenliche Aufgabenverwaltung mit Tagesplanung.;Microsoft To Do bietet Aufgabenlisten, Erinnerungen, Faelligkeiten und die Funktion Mein Tag zur taeglichen Priorisierung. Aufgaben aus Planner, Outlook und Cortana fliessen automatisch ein.;Enthalten in allen M365-Plaenen mit Exchange-Postfach.;https://learn.microsoft.com/microsofttodo/overview
Power Automate;Workflow-Automatisierung zwischen M365- und Drittsystemen.;Power Automate erstellt automatisierte, geplante oder manuell gestartete Flows zwischen hunderten Konnektoren. Typische Szenarien: Genehmigungsworkflows, Datei-Synchronisation, Benachrichtigungen und Datenintegration zwischen SharePoint, Teams, Outlook und Drittanbieter-APIs.;"Basis-Flows in M365 enthalten; Premium-Konnektoren und RPA separat.";https://learn.microsoft.com/power-automate/getting-started
Power Apps;Low-Code-Plattform fuer fachbereichsnahe Anwendungen.;Power Apps ermoeglicht Canvas- und modellgesteuerte Apps mit Formularen, Datenanbindung an Dataverse, SharePoint, SQL und weitere Quellen. Fachbereiche erstellen eigene Anwendungen ohne klassische Entwicklung.;"Basis-Nutzung in M365 enthalten; Premium und Dataverse separat.";https://learn.microsoft.com/power-apps/powerapps-overview
Microsoft Forms;Formular- und Umfragetool fuer Feedback und Datenerfassung.;Microsoft Forms erstellt Umfragen, Quizze und Feedbackformulare mit Verzweigungslogik, Bewertungsskalen und Echtzeitauswertung. Formulare koennen in Teams eingebettet oder per Link geteilt werden.;Enthalten in Business Basic+, E1, E3, E5.;https://learn.microsoft.com/microsoft-forms/admin-information
Microsoft Bookings;Online-Terminbuchung mit Kalender-Integration.;Microsoft Bookings stellt eine buchbare Seite bereit, auf der Kunden oder Mitarbeitende Termine anhand verfuegbarer Zeitfenster buchen. Bestaetigungen, Erinnerungen und Stornierungen erfolgen automatisch. Integration in Teams und Outlook ist nativ vorhanden.;Enthalten in Business Standard, E3, E5.;https://learn.microsoft.com/microsoft-365/bookings/bookings-overview
Microsoft Loop;Flexible, gemeinsam bearbeitbare Inhaltsbausteine.;Microsoft Loop bietet Workspaces, Seiten und Komponenten, die in Echtzeit gemeinsam bearbeitet und in Teams, Outlook und Word eingebettet werden koennen. Loop-Komponenten bleiben ueberall synchron.;Enthalten in Business Standard+, E3, E5.;https://learn.microsoft.com/microsoft-365/loop/loop-compliance-summary
Viva Engage;Community-Plattform fuer soziale Interaktion im Unternehmen.;Viva Engage (Nachfolger von Yammer) bietet Communities, Storyline-Posts, Fragen und Antworten sowie Leadership-Kommunikation. Es integriert sich in Teams und foerdert abteilungsuebergreifende Vernetzung.;"Enthalten in M365 E1, E3, E5; Viva Suite fuer Premium-Funktionen.";https://learn.microsoft.com/viva/engage/overview
Viva Insights;Auswertungen zu Arbeitsgewohnheiten und Produktivitaet.;"Viva Insights analysiert Meetingzeiten, Fokuszeiten, E-Mail-Verhalten und Zusammenarbeitsmuster. Persoenliche Insights helfen Einzelnen; Manager- und Organisationsansichten unterstuetzen datengestuetzte Entscheidungen.";"Persoenliche Insights in M365 E1+; Premium in Viva Insights Add-on oder Viva Suite.";https://learn.microsoft.com/viva/insights/introduction
Microsoft Purview;Compliance-, Datenschutz- und Informationsschutz-Suite.;Microsoft Purview buendelt Information Protection, DLP, Retention, eDiscovery, Audit, Insider Risk Management und Communication Compliance. Es klassifiziert, schuetzt und ueberwacht Daten ueber M365, Azure und hybride Umgebungen hinweg.;"Basisfunktionen in E3; erweiterter Umfang in E5 oder Purview Add-ons.";https://learn.microsoft.com/purview/purview
Aufbewahrungsrichtlinien;Regeln fuer Aufbewahrung, Archivierung und Loeschung.;Aufbewahrungsrichtlinien (Retention Policies) definieren, wie lange Inhalte in Exchange, SharePoint, OneDrive und Teams aufbewahrt oder nach Ablauf automatisch geloescht werden. Kernbestandteil der Purview-Compliance-Loesung.;"Basis in E3; erweiterte Szenarien (Adaptive Scopes) ab E5.";https://learn.microsoft.com/purview/retention
Sensitivity Labels;Inhaltsklassifizierung mit Schutzmassnahmen.;Sensitivity Labels kennzeichnen Dokumente und E-Mails nach Schutzbedarf (Vertraulich, Intern etc.) und erzwingen optional Verschluesselung, Wasserzeichen, Kopfzeilen oder Freigabebeschraenkungen. Verwaltung ueber Purview, Anwendung in Office-Apps, Teams und SharePoint.;"Manuelle Labels in E3; Auto-Labeling ab E5 oder Information Protection Add-on.";https://learn.microsoft.com/purview/sensitivity-labels
Copilot for Microsoft 365;KI-Assistent in Word, Excel, Teams, Outlook u.v.m.;Copilot for Microsoft 365 nutzt Large Language Models im Kontext der Unternehmensdaten (Graph-grounded), um Texte zu entwerfen, Daten zu analysieren, Meetings zusammenzufassen und Aufgaben zu beschleunigen. Die Daten bleiben im Tenant-Sicherheitsrahmen.;"Kostenpflichtiges Add-on; setzt M365 E3/E5 oder Business Standard/Premium voraus.";https://learn.microsoft.com/copilot/microsoft-365/microsoft-365-copilot-overview
Hybrid Identity;Verbindung lokaler Verzeichnisdienste mit Cloud-Identitaeten.;Hybrid Identity synchronisiert on-premises Active Directory ueber Entra Connect mit Microsoft Entra ID. Benutzer erhalten ein einheitliches Konto fuer lokale und Cloud-Ressourcen. Methoden: Password Hash Sync, Pass-through Auth, Federation.;"Entra Connect kostenlos; erweiterte Features in Entra ID P1/P2.";https://learn.microsoft.com/entra/identity/hybrid/whatis-hybrid-identity
Microsoft Stream;Videoplattform in Microsoft 365 (SharePoint-basiert).;Microsoft Stream speichert, verwaltet und streamt Unternehmensvideos auf SharePoint Online. Meeting-Aufzeichnungen aus Teams landen automatisch in OneDrive/SharePoint. Transkription, Kapitel und Suche sind integriert.;Enthalten in M365 Business Basic+, E1, E3, E5.;https://learn.microsoft.com/stream/overview
Microsoft Stream Classic;Fruehere eigenstaendige Videoplattform (eingestellt).;Microsoft Stream Classic war die urspruengliche Azure-Media-Services-basierte Videoplattform. Sie wurde durch die SharePoint-basierte Stream-Version ersetzt. Die Migration ist abgeschlossen.;"Eingestellt; Inhalte in Stream (on SharePoint) migriert.";https://learn.microsoft.com/stream/streamnew/stream-classic-to-new-migration-overview
Microsoft Whiteboard;Digitale Kollaborationsflaeche fuer Skizzen und Brainstorming.;Microsoft Whiteboard bietet ein unendliches Canvas fuer Freihandzeichnungen, Haftnotizen, Vorlagen und Reaktionen. Whiteboards koennen in Teams-Meetings gestartet und in der Whiteboard-App weiterbearbeitet werden.;Enthalten in M365 Business Basic+, E1, E3, E5.;https://learn.microsoft.com/microsoft-365/whiteboard/manage-whiteboard
Microsoft Whiteboard Online;Browserbasierte Nutzung von Microsoft Whiteboard.;Microsoft Whiteboard Online ist die Web-Version des Whiteboards unter whiteboard.microsoft.com ohne Desktop-Installation. Funktionsumfang und Synchronisation entsprechen der nativen App.;"Wie Microsoft Whiteboard; keine separate Lizenz noetig.";https://whiteboard.microsoft.com
Microsoft Sway;Webbasiertes Tool fuer interaktive Praesentationen und Berichte.;Microsoft Sway erstellt visuell ansprechende, responsive Inhalte wie Berichte, Newsletter oder Trainingsmaterialien. Bilder, Videos und Texte werden automatisch layoutet und sind per Link teilbar.;Enthalten in M365 Business Basic+, E1, E3, E5.;https://support.microsoft.com/sway
Microsoft Sway Templates;Vorgefertigte Layouts und Vorlagen fuer Sway.;Sway Templates bieten Design- und Strukturvorlagen fuer haeufige Szenarien wie Newsletter, Portfolios und Schulungsmaterialien. Sie beschleunigen die Erstellung und sorgen fuer ein einheitliches Erscheinungsbild.;"In Sway enthalten; keine separate Lizenz.";https://sway.cloud.microsoft
Microsoft Delve;Kontextbezogene Dokumentenanzeige basierend auf Zusammenarbeit.;Microsoft Delve zeigt Benutzern relevante Dokumente an, basierend auf Zusammenarbeit, Zugriffen und Interaktionen im Microsoft Graph. Es dient als personalisierte Startseite fuer Dokumente, wird aber zunehmend durch andere M365-Oberflaechen ersetzt.;Enthalten in M365 E1, E3, E5 (Funktion wird reduziert).;https://support.microsoft.com/office/what-is-delve-1315665a-c6af-4409-a28d-49f8916878ca
Microsoft Viva;Plattform fuer Employee Experience in Microsoft 365.;Microsoft Viva buendelt Module fuer Kommunikation (Connections), Lernen (Learning), Einblicke (Insights), Engagement (Engage), Ziele (Goals) und Wissensmanagement. Ziel: Produktivitaet, Wohlbefinden und Lernkultur im Arbeitsalltag staerken.;"Einzelmodule teils in M365 enthalten; Viva Suite als Gesamtlizenz.";https://learn.microsoft.com/viva/microsoft-viva-overview
Microsoft Viva Learning;Lernplattform integriert in Teams.;Viva Learning aggregiert Lerninhalte aus LinkedIn Learning, internen Quellen und Drittanbietern (z. B. SAP SuccessFactors, Cornerstone) direkt in Teams. Manager empfehlen Inhalte, Mitarbeitende verfolgen ihren Lernfortschritt.;"Basis in M365 E3/E5; Premium-Features in Viva Learning Add-on oder Viva Suite.";https://learn.microsoft.com/viva/learning/overview-viva-learning
Microsoft Viva Topics;KI-gestuetzte Wissensorganisation (eingestellt).;Viva Topics identifizierte automatisch Themen im Tenant und erstellte Wissensseiten mit relevanten Personen, Dokumenten und Ressourcen. Microsoft hat den Dienst Anfang 2025 eingestellt und verweist auf Copilot-gestuetzte Wissensfeatures.;"Eingestellt; Funktionalitaet geht in Copilot / SharePoint Premium auf.";https://learn.microsoft.com/microsoft-365/topics/
Microsoft Viva Connections;Unternehmensportal und Dashboard in Teams.;Viva Connections bringt Intranet-Inhalte, Unternehmenskommunikation und personalisierte Dashboard-Karten in Microsoft Teams. Basiert auf SharePoint und wird ueber App-Setup-Richtlinien bereitgestellt.;"Enthalten in M365 E3, E5; Dashboard-Karten teils Premium.";https://learn.microsoft.com/viva/connections/viva-connections-overview
Microsoft Viva Goals;OKR-Management und strategische Zielverfolgung.;Viva Goals unterstuetzt Objectives and Key Results (OKR) mit Alignment-Ansichten, Check-ins und Integrationen in Teams, Planner und Azure DevOps. Transparenz ueber strategische Ziele und deren Fortschritt im gesamten Unternehmen.;"In Viva Suite enthalten oder als Add-on; wird in Copilot integriert.";https://learn.microsoft.com/viva/goals/intro-to-ms-viva-goals
Microsoft Yammer;Frueheres Enterprise Social Network (jetzt Viva Engage).;Yammer war Microsofts soziales Netzwerk fuer Unternehmen. Communities, Storyline und Q&A-Funktionen wurden unter dem Namen Viva Engage weiterentwickelt. Der Yammer-Name ist weitgehend ersetzt.;Funktionalitaet in Viva Engage ueberfuehrt.;https://learn.microsoft.com/viva/engage/overview
Microsoft Lists;Strukturierte Listenverwaltung in Microsoft 365.;Microsoft Lists bietet anpassbare Listen mit Spaltentypen, Ansichten (Grid, Gallery, Calendar, Board), Formatierungsregeln und Automatisierungen. Listen koennen in Teams eingebettet und mit Power Automate verknuepft werden.;Enthalten in Business Basic+, E1, E3, E5.;https://learn.microsoft.com/microsoft-365/community/working-with-microsoft-lists
Microsoft Lists Rules;Regelbasierte Automatisierungen in Listen.;Lists Rules ermoeglichen einfache Wenn-Dann-Automatisierungen direkt in Microsoft Lists, z. B. Benachrichtigungen bei Statuswechsel oder Faelligkeitsueberschreitungen. Fuer komplexere Szenarien wird Power Automate empfohlen.;In Microsoft Lists enthalten.;https://support.microsoft.com/office/create-a-rule-in-microsoft-lists-0839e289-49c5-4c3c-80f0-1b8d0684c37e
Microsoft MyAnalytics;Persoenliche Arbeitsgewohnheits-Analyse (jetzt Viva Insights).;MyAnalytics war die Vorgaengerbezeichnung der persoenlichen Insights zu Fokuszeit, Meeting-Aufwand und E-Mail-Verhalten. Die Funktionalitaet ist vollstaendig in Viva Insights (Personal Insights) aufgegangen.;Funktionalitaet in Viva Insights ueberfuehrt.;https://learn.microsoft.com/viva/insights/introduction
Microsoft Compliance Center;Verwaltungsportal fuer Compliance- und Datenschutzfunktionen.;Das Compliance Center war das zentrale Portal fuer DLP, Retention, eDiscovery, Audit und Informationsschutz. Die Funktionalitaet wurde in das Microsoft Purview Portal ueberfuehrt.;"Zugang ueber Purview-Portal; Umfang abhaengig von E3/E5-Lizenz.";https://learn.microsoft.com/purview/purview-portal
Microsoft Compliance Manager;Compliance-Bewertung und Massnahmenplanung.;Compliance Manager bewertet den Compliance-Status anhand von Vorlagen (z. B. ISO 27001, DSGVO, TISAX) und gibt priorisierte Handlungsempfehlungen. Der Compliance Score zeigt den Reifegrad auf einen Blick.;"Basiszugang in E3; erweiterte Vorlagen in E5 oder Compliance Add-ons.";https://learn.microsoft.com/purview/compliance-manager
Microsoft Security & Compliance Center;Ehemaliges Portal fuer Sicherheit und Compliance (aufgeteilt).;Das Security & Compliance Center war die zentrale Verwaltungsoberflaeche, bevor Microsoft es in das Defender Portal (Sicherheit) und das Purview Portal (Compliance) aufgeteilt hat.;Aufgeteilt in Defender Portal und Purview Portal.;https://learn.microsoft.com/purview/purview-portal
Microsoft Secure Score;Sicherheitsbewertung der M365-Konfiguration.;Secure Score analysiert die Sicherheitskonfiguration des Tenants (MFA, Conditional Access, Geraete, Mail-Schutz etc.) und vergibt Punkte. Empfohlene Verbesserungsmassnahmen sind nach Auswirkung und Aufwand priorisiert.;Kostenlos verfuegbar in jedem M365-Tenant.;https://learn.microsoft.com/defender/microsoft-365-defender/microsoft-secure-score
Microsoft Graph API;Zentrale Programmierschnittstelle fuer M365-Daten.;Microsoft Graph ist die einheitliche REST-API fuer den Zugriff auf Benutzer, Gruppen, Mails, Kalender, Dateien, Teams und weitere M365-Ressourcen. Grundlage fuer Automatisierung, Integrationen und Copilot-Features.;"API-Zugriff in allen M365-Plaenen; manche Endpunkte erfordern hoehere Lizenzen.";https://learn.microsoft.com/graph/overview
Microsoft 365 Groups;Gemeinsamer Identitaets- und Ressourcencontainer.;Eine M365-Gruppe ist das Identitaetsobjekt hinter Teams, Planner-Plaenen, SharePoint-Teamwebsites und Outlook-Gruppenpostfaechern. Das Erstellen eines Teams erzeugt automatisch eine M365-Gruppe mit allen verbundenen Ressourcen.;Enthalten in allen M365-Plaenen.;https://learn.microsoft.com/microsoft-365/admin/create-groups/office-365-groups
Microsoft 365 Lighthouse;Multi-Tenant-Verwaltung fuer Managed-Service-Provider.;Lighthouse bietet MSPs und CSP-Partnern eine konsolidierte Ansicht ueber mehrere Kunden-Tenants mit Baseline-Sicherheitskonfigurationen, Risikobewertungen und Bereitstellungsaufgaben.;"Fuer CSP-Partner mit GDAP; Kunden benoetigen M365 Business Premium oder E3+.";https://learn.microsoft.com/microsoft-365/lighthouse/m365-lighthouse-overview
Microsoft 365 Roadmap;Oeffentliche Uebersicht geplanter und ausgerollter M365-Features.;Die Microsoft 365 Roadmap unter microsoft.com/microsoft-365/roadmap zeigt Funktionen im Status In Entwicklung, Rolling Out und Launched. Wichtigstes Werkzeug fuer Change- und Release-Management in M365-Umgebungen.;"Oeffentlich zugaenglich; kein Login erforderlich.";https://www.microsoft.com/microsoft-365/roadmap
Microsoft 365 Admin Center;Zentrales Portal fuer M365-Verwaltung.;Das Admin Center (admin.microsoft.com) verwaltet Benutzer, Gruppen, Lizenzen, Domaenen, Dienststatus und Richtlinien. Von hier aus erreichen Admins die spezialisierten Portale fuer Exchange, SharePoint, Teams, Security und Compliance.;Zugang fuer alle M365-Admins.;https://learn.microsoft.com/microsoft-365/admin/admin-overview/admin-center-overview
Microsoft 365 Message Center;Aenderungskommunikation und Service-Nachrichten.;Das Message Center informiert Admins ueber neue, geaenderte oder auslaufende M365-Funktionen mit geplanten Zeitrahmen und Handlungsbedarf. Primaerer Kanal fuer Change-Management-Informationen von Microsoft.;In jedem M365-Tenant verfuegbar.;https://learn.microsoft.com/microsoft-365/admin/manage/message-center
Microsoft 365 Service Health;Echtzeit-Dienststatus und Stoerungsmeldungen.;Service Health zeigt den aktuellen Zustand aller M365-Dienste, offene Incidents, geplante Wartungen und Post-Incident-Reviews. Admins koennen Benachrichtigungen konfigurieren und den Verlauf frueherer Vorfaelle einsehen.;In jedem M365-Tenant verfuegbar.;https://learn.microsoft.com/microsoft-365/enterprise/view-service-health
Microsoft 365 Apps for Enterprise;Vollstaendige Office-Desktopsuite mit Cloud-Anbindung.;M365 Apps for Enterprise umfasst Word, Excel, PowerPoint, Outlook, Access und Publisher als lokal installierte Desktop-Anwendungen mit monatlichen Feature-Updates und Cloud-Integration (Co-Authoring, AutoSave, Copilot).;Enthalten in E3, E5, Business Standard/Premium.;https://learn.microsoft.com/deployoffice/about-microsoft-365-apps
Microsoft 365 Apps Admin Center;Portal fuer Servicing und Health-Daten der Office-Apps.;Das Apps Admin Center (config.office.com) steuert Update-Kanaele, Bereitstellungskonfigurationen, Office-Cloud-Policies und Gesundheitsdashboards der installierten M365-Apps.;Zugang fuer M365-Admins.;https://learn.microsoft.com/deployoffice/admincenter/overview
Microsoft Teams Premium;Erweiterte Teams-Funktionen fuer Meetings und Sicherheit.;Teams Premium ergaenzt intelligente Meeting-Zusammenfassungen (Copilot), benutzerdefinierte Meeting-Vorlagen, Watermarking, End-to-End-Verschluesselung, erweiterte Webinar-Funktionen und Virtual Appointments.;Kostenpflichtiges Add-on zu M365 E3/E5.;https://learn.microsoft.com/microsoftteams/enhanced-teams-experience
Microsoft Teams Rooms;Raum-Hardware und -Software fuer Teams-Meetings.;Teams Rooms integriert Besprechungsraeume nativ in Teams mit zertifizierter Hardware (Kameras, Displays, Mikrofone). Verwaltung ueber das Teams Rooms Pro Management Portal mit Monitoring und Remote-Konfiguration.;Teams Rooms Basic (kostenlos, bis 25 Raeume) oder Teams Rooms Pro.;https://learn.microsoft.com/microsoftteams/rooms/
Microsoft Teams Live Events;Grosse Live-Uebertragungen in Teams (Nachfolger: Town Hall).;Teams Live Events ermoeglichte Uebertragungen an bis zu 20.000 Teilnehmer mit Produzenten- und Moderatorenrollen. Die Funktion wird schrittweise durch Teams Town Hall ersetzt.;"Eingestellt zugunsten von Town Hall; war in E1, E3, E5 enthalten.";https://learn.microsoft.com/microsoftteams/teams-live-events/what-are-teams-live-events
Microsoft Teams Breakout Rooms;Gruppenraeume innerhalb eines Teams-Meetings.;Breakout Rooms teilen Meeting-Teilnehmer in separate virtuelle Raeume fuer Kleingruppenarbeit, Workshops oder Diskussionsrunden. Der Organisator kann Teilnehmer zuweisen, zwischen Raeumen wechseln und alle zurueckholen.;In allen Teams-Lizenzen enthalten.;https://support.microsoft.com/office/use-breakout-rooms-in-microsoft-teams-meetings-7de1f48a-da07-466c-a5ab-4ebace28e461
Microsoft Teams Shifts;Dienstplan- und Schichtverwaltung in Teams.;Teams Shifts bietet Schichtplanung, Zeiterfassung, Tausch-Anfragen und offene Schichten fuer Frontline-Worker. Integration mit Workforce-Management-Systemen (z. B. Blue Yonder, Reflexis) ueber Konnektoren moeglich.;Enthalten in M365 F1, F3, E1, E3, E5.;https://learn.microsoft.com/microsoftteams/expand-teams-across-your-org/shifts-for-teams-landing-page
Microsoft Teams Calling;Cloud-Telefonie, Rufnummern und Anrufsteuerung in Teams.;Teams Calling umfasst Phone System, Calling Plans, Operator Connect und Direct Routing fuer PSTN-Anbindung. Auto-Attendants, Anrufwarteschlangen, Voicemail und Call Analytics stehen zur Verfuegung.;"Phone System in E5; Calling Plan oder SBC/Operator Connect separat.";https://learn.microsoft.com/microsoftteams/cloud-voice-landing-page
Microsoft Teams Education;Teams fuer Bildungseinrichtungen mit Klassenfunktionen.;Teams Education bietet Klassenteams mit Aufgaben, Noten, Kursnotizen, Insights-Dashboard fuer Lehrkraefte und Integration mit Schulverwaltungssystemen (SDS). Sonderlizenzen fuer Bildungseinrichtungen verfuegbar.;M365 Education A1 (kostenlos), A3, A5.;https://learn.microsoft.com/microsoftteams/expand-teams-across-your-org/teams-for-education-landing-page
Microsoft Teams Approval Workflow;Genehmigungsprozesse direkt in Teams.;Approvals in Teams ermoeglicht Genehmigungsanfragen mit Vorlagen, Anhaengen und Ketten-Genehmigungen direkt aus dem Teams-Chat oder Kanal. Im Hintergrund nutzt es Power Automate und Dataverse.;"Basisfunktion in M365 enthalten; erweiterte Flows ueber Power Automate Premium.";https://learn.microsoft.com/microsoftteams/approval-admin
Microsoft Teams Webinar;Registrierungspflichtige Online-Veranstaltungen in Teams.;Teams-Webinare bieten Registrierungsformulare, E-Mail-Bestaetigungen, Teilnehmer-Reporting und strukturierte Praesentationen. Erweiterte Funktionen (Warteliste, manuelle Genehmigung) in Teams Premium verfuegbar.;"Basisfunktion in E3/E5; erweiterte Features in Teams Premium.";https://learn.microsoft.com/microsoftteams/set-up-webinars
Microsoft Teams Town Hall;Grossveranstaltungsformat fuer interne Kommunikation.;Town Hall ersetzt Live Events und unterstuetzt bis zu 10.000 (bzw. 20.000 mit Premium) interaktive Teilnehmer mit Q&A, RTMP-In, Co-Organisatoren und Aufzeichnung. Ideal fuer All-Hands, Quartals-Updates und CEO-Kommunikation.;"In E3/E5 enthalten; erweiterte Kapazitaet in Teams Premium.";https://learn.microsoft.com/microsoftteams/plan-town-halls
Microsoft Planner Hub;Zentrale Uebersicht aller Planner-Plaene und Aufgaben.;Der Planner Hub buendelt alle Plaene, an denen ein Benutzer beteiligt ist, in einer Gesamtansicht. Aufgaben lassen sich nach Faelligkeit, Plan oder Prioritaet filtern. Seit dem neuen Planner (2024) verschmelzen Planner- und To-Do-Aufgaben.;Enthalten in M365 Business Basic+, E1, E3, E5.;https://learn.microsoft.com/office365/planner/planner-for-admins
Microsoft Planner Charts;Diagramme fuer Aufgabenstand und Fortschritt in Planner.;Planner Charts zeigen den Aufgabenstatus (Nicht begonnen / In Bearbeitung / Erledigt / Ueberfaellig) als Balken- und Kreisdiagramme. Schneller Ueberblick ueber den Planfortschritt.;In Microsoft Planner enthalten.;https://support.microsoft.com/office/view-charts-of-your-plan-s-progress-38dc2e1c-b888-4ca0-a8a8-4e15bc2caef4
Microsoft Project;Projektmanagement mit Zeitachsen und Ressourcenplanung.;Microsoft Project bietet Gantt-Diagramme, Aufgabenabhaengigkeiten, Ressourcenauslastung und Projektportfolio-Management. Die Cloud-Version (Project for the Web) basiert auf Dataverse und integriert sich in Teams und Power Platform.;Separate Lizenz: Project Plan 1, 3 oder 5.;https://learn.microsoft.com/project/project-for-the-web-get-started-with-office-365
