"Eintrag";"Kurzbeschreibung";"Langbeschreibung";"Lizenz-Info";"Weblinks"
"Exchange Postfachtypen";"Benutzer-, Raum-, Geraete- und freigegebene Postfaecher.";"Exchange unterscheidet Benutzerpostfaecher, Shared Mailboxes (kein Login noetig), Room Mailboxes (Raumbuchung), Equipment Mailboxes (Geraetebuchung) und Discovery Mailboxes (eDiscovery). Jeder Typ hat spezifische Eigenschaften fuer Groesse, Zugriff und Lizenzierung.";"In Exchange Server enthalten; Shared Mailbox in EXO bis 50 GB lizenzfrei.";"https://learn.microsoft.com/exchange/recipients/recipients"
"Exchange Retention Policies";"Aufbewahrungsrichtlinien fuer Postfachinhalte.";"Retention Policies definieren, wie lange E-Mails in Ordnern verbleiben und wann sie in das Archiv oder den Papierkorb verschoben werden. Retention Tags (Default, Personal, System) werden zu Retention Policies zusammengefasst und Postfaechern zugewiesen.";"In Exchange Server enthalten.";"https://learn.microsoft.com/exchange/policy-and-compliance/mrm/default-retention-policy"
"Exchange Message Tracking";"Nachverfolgung des Mailwegs durch Exchange.";"Message Tracking protokolliert den Weg jeder E-Mail durch Exchange: Empfang, Kategorisierung, Regeln, Zustellung oder Ablehnung. Get-MessageTrackingLog (On-Premises) bzw. Get-MessageTrace (Online) sind die zentralen Cmdlets fuer Mailflow-Troubleshooting.";"In Exchange Server enthalten.";"https://learn.microsoft.com/exchange/mail-flow/transport-logs/search-message-tracking-log"
"Exchange Archivierung";"Archivpostfach fuer aeltere E-Mails.";"In-Place Archiving verschiebt aeltere Mails automatisch oder manuell in ein Archivpostfach, das im Outlook-Profil als zusaetzliches Postfach erscheint. Archive Policies steuern, nach welcher Zeit Mails ins Archiv wandern. In Exchange Online ist Auto-Expanding Archive verfuegbar.";"In Exchange Server Enterprise CAL; in M365 E3/E5 enthalten.";"https://learn.microsoft.com/exchange/policy-and-compliance/in-place-archiving/in-place-archiving"
"Exchange OWA";"Webbasierter Zugriff auf Exchange-Postfaecher.";"Outlook on the Web (OWA, frueher Outlook Web Access) bietet browserbasierten E-Mail-, Kalender- und Kontaktzugriff. Konfiguration ueber virtuelle IIS-Verzeichnisse, OWA Mailbox Policies steuern verfuegbare Features. In Exchange 2019 ist die OWA-Oberflaeche weitgehend identisch mit Outlook Online.";"In Exchange Server enthalten.";"https://learn.microsoft.com/exchange/clients/outlook-on-the-web/outlook-on-the-web"
"Exchange ActiveSync";"Protokoll fuer mobile E-Mail-Synchronisation.";"Exchange ActiveSync (EAS) synchronisiert E-Mail, Kalender, Kontakte und Aufgaben mit mobilen Geraeten. Mobile Device Mailbox Policies erzwingen PIN, Verschluesselung und Remote Wipe. EAS wird zunehmend durch Modern Authentication und Outlook Mobile ersetzt.";"In Exchange Server enthalten.";"https://learn.microsoft.com/exchange/clients/exchange-activesync/exchange-activesync"
"Exchange Journaling";"Kopie aller E-Mails fuer Compliance und Aufbewahrung.";"Journaling erstellt eine unveraenderliche Kopie aller ein- und ausgehenden Mails eines Postfachs oder der gesamten Organisation und leitet sie an ein Journal-Postfach. Einsatz: regulatorische Anforderungen (BaFin, SEC), Rechtsstreitigkeiten, Compliance-Audits.";"In Exchange Server enthalten (Standard oder Premium Journaling).";"https://learn.microsoft.com/exchange/policy-and-compliance/journaling/journaling"
"Exchange Hybrid Agent";"Leichtgewichtige Hybrid-Verbindung ohne oeffentliche Endpunkte.";"Der Hybrid Agent (Hybrid Modern) erstellt eine ausgehende Verbindung zu Azure Relay, sodass keine eingehenden Firewall-Ports fuer EWS und Migration geoeffnet werden muessen. Er ist die empfohlene Alternative zur klassischen Hybrid-Topologie mit oeffentlichen Exchange-Endpunkten.";"Kostenlos; setzt Exchange-Server-Lizenz und M365-Lizenz voraus.";"https://learn.microsoft.com/exchange/hybrid-agent"
"Exchange Migration Batch";"Postfachmigration von On-Premises nach Exchange Online.";"Migration Batches verschieben Postfaecher per MRS (Mailbox Replication Service) von Exchange On-Premises nach Exchange Online. Typen: Staged, Cutover und Hybrid (Remote Move). CSV-Dateien definieren die zu migrierenden Postfaecher. Monitoring per Get-MoveRequest und Get-MigrationBatch.";"In Exchange Online und Hybrid-Setup enthalten.";"https://learn.microsoft.com/exchange/mailbox-migration/mailbox-migration"
"Exchange EWS";"Programmierschnittstelle fuer Exchange-Zugriff.";"Exchange Web Services (EWS) ist eine SOAP-basierte API fuer den Zugriff auf Postfaecher, Kalender, Kontakte und Aufgaben. EWS wird von vielen Drittanbieter-Tools genutzt, befindet sich aber im Maintenance-Modus. Microsoft empfiehlt die Migration zu Microsoft Graph.";"In Exchange Server und Exchange Online enthalten; EWS in EXO ab 2026 eingeschraenkt.";"https://learn.microsoft.com/exchange/client-developer/exchange-web-services/start-using-web-services-in-exchange"
"Exchange RBAC";"Rollenbasierte Zugriffskontrolle in Exchange.";"Exchange RBAC steuert Administrationsberechtigungen ueber Management-Rollen, Rollenzuweisungen und Rollenbereiche. Vordefinierte Rollengruppen (Organization Management, Recipient Management, Help Desk etc.) buendeln typische Berechtigungssaetze. Custom Roles ermoeglichen feingranulare Delegation.";"In Exchange Server enthalten.";"https://learn.microsoft.com/exchange/permissions/permissions"
"Exchange Edge Transport";"Spezialisierte Serverrolle fuer Perimeter-Mailverarbeitung.";"Der Edge Transport Server steht in der DMZ und uebernimmt Anti-Spam, Anti-Malware, Adressuebersetzung und Transportregeln, bevor Mails an interne Mailbox-Server weitergeleitet werden. EdgeSync synchronisiert Empfaengerdaten. In vielen Umgebungen durch Cloud-Filterung (EOP) ersetzt.";"In Exchange Server enthalten.";"https://learn.microsoft.com/exchange/architecture/edge-transport-servers/edge-transport-servers"
"Exchange Unified Messaging";"Voicemail-Integration in Exchange (eingestellt).";"Exchange Unified Messaging (UM) integrierte Voicemail, Auto-Attendant und Fax-Empfang in Exchange-Postfaecher. Die Funktion wurde in Exchange 2019 und Exchange Online entfernt. Nachfolger: Cloud Voicemail in Microsoft Teams.";"Eingestellt; Nachfolger: Teams Cloud Voicemail.";"https://learn.microsoft.com/exchange/plan-and-deploy/post-installation-tasks/configure-mail-flow-and-client-access"
"Exchange Queue Viewer";"Diagnose-Tool fuer Mail-Warteschlangen.";"Der Queue Viewer (im Exchange Toolbox oder per Get-Queue/Get-Message) zeigt Nachrichten in Transport-Warteschlangen an. Er hilft bei der Diagnose von Zustellproblemen, DNS-Fehlern, Connector-Problemen und Backpressure-Zustaenden.";"In Exchange Server enthalten.";"https://learn.microsoft.com/exchange/mail-flow/queues/queue-viewer"
"Exchange Protocol Logging";"Detaillierte SMTP-Kommunikationsprotokollierung.";"Protocol Logs zeichnen die SMTP-Kommunikation auf Send- und Receive-Connectors auf (EHLO, MAIL FROM, RCPT TO, DATA). Sie sind essenziell fuer die Diagnose von TLS-Problemen, Authentifizierungsfehlern und Connector-Konfigurationsproblemen.";"In Exchange Server enthalten.";"https://learn.microsoft.com/exchange/mail-flow/connectors/protocol-logging"
