"Eintrag";"Kurzbeschreibung";"Langbeschreibung";"Lizenz-Info";"Weblinks"
"Object Storage";"Skalierbarer Speicher fuer unstrukturierte Daten (S3-kompatibel).";"Object Storage speichert Daten als Objekte mit Metadaten in flachen Namespaces statt hierarchischer Ordnerstruktur. S3-kompatible APIs sind de facto Standard. Einsatz: Backups, Archivierung, Media, Data Lakes. Azure Blob, AWS S3, MinIO (On-Premises) und Wasabi sind gaengige Plattformen.";"Azure Blob nach Speichermenge; MinIO Open Source; Wasabi Flatrate.";"https://learn.microsoft.com/azure/storage/blobs/storage-blobs-introduction"
"Azure Backup fuer M365";"Sicherung von Exchange Online, SharePoint und OneDrive.";"Microsoft 365 Backup (nativ oder Drittanbieter) sichert Postfaecher, SharePoint-Sites, OneDrive-Dateien und Teams-Daten. Microsoft bietet seit 2024 M365 Backup Storage als nativen Dienst an. Drittanbieter: Veeam Backup for M365, AvePoint, Druva. Retention Policies allein sind kein Backup-Ersatz.";"M365 Backup Storage (Pay-as-you-go); Veeam Backup for M365 Community Edition (10 User kostenlos).";"https://learn.microsoft.com/microsoft-365/backup/"
"Snapshot";"Zeitpunktbezogene Momentaufnahme eines Datentraegers oder einer VM.";"Snapshots erfassen den Zustand eines Volumes, einer VM oder einer Datenbank zu einem bestimmten Zeitpunkt. Sie ermoeglichen schnelles Rollback, sind aber kein Backup-Ersatz (gleicher Datentraeger, keine Offsite-Kopie). Hyper-V Checkpoints, VMware Snapshots und Azure Disk Snapshots sind verbreitet.";"In Hypervisoren und Cloud-Plattformen enthalten; Speicherkosten fuer Delta-Daten.";"https://learn.microsoft.com/azure/virtual-machines/snapshot-copy-managed-disk"
"Tape Backup";"Bandsicherung fuer Langzeitarchivierung und Offsite-Aufbewahrung.";"Tape-Medien (LTO-8, LTO-9) bieten hohe Kapazitaet (bis 45 TB nativ), niedrige Kosten pro TB und natuerliche Air-Gap-Sicherheit. Einsatz: Langzeitarchivierung, regulatorische Aufbewahrung, Offsite-Rotation. Tape Libraries automatisieren den Medienwechsel. In modernen Strategien durch Cloud-Archive ergaenzt oder ersetzt.";"Hardware (Tape Drive, Library); Medien (LTO-Kassetten).";"https://en.wikipedia.org/wiki/Linear_Tape-Open"
"Backup-Rotation";"Systematischer Wechsel von Backup-Medien oder -Zielen.";"Backup-Rotation (z. B. GFS: Grandfather-Father-Son) definiert, wie taegliche, woechentliche und monatliche Sicherungen aufbewahrt und rotiert werden. GFS gewaehrleistet kurz- und langfristige Wiederherstellungspunkte bei kontrolliertem Speicherverbrauch.";"Organisatorisches Prinzip; in Backup-Software konfigurierbar.";"https://en.wikipedia.org/wiki/Backup_rotation_scheme"
"Backup Monitoring";"Ueberwachung und Reporting von Sicherungsjobs.";"Backup Monitoring prueft automatisch den Erfolg/Misserfolg aller Sicherungsjobs und alarmiert bei Fehlern. Veeam ONE, Azure Backup Reports, PRTG-Sensoren und benutzerdefinierte PowerShell-Skripte sind gaengige Loesungen. Taeglich geprueft, woechentlich reported.";"Veeam ONE Community kostenlos; Enterprise kostenpflichtig; Azure Backup Reports in Azure Monitor.";"https://learn.microsoft.com/azure/backup/backup-azure-monitoring-built-in-monitor"
"iSCSI";"Blockspeicher-Protokoll ueber TCP/IP-Netzwerk.";"iSCSI (Internet Small Computer Systems Interface) transportiert SCSI-Befehle ueber TCP/IP und stellt Blockspeicher ohne dedizierte FC-Infrastruktur bereit. iSCSI Initiator (Client) verbindet sich mit iSCSI Target (Storage). Einsatz: guenstige SAN-Alternative, Hyper-V Shared Storage, Backup-Ziele.";"iSCSI Initiator in Windows enthalten; iSCSI Target in Windows Server, NAS oder dedizierten Storage-Systemen.";"https://learn.microsoft.com/windows-server/storage/iscsi/iscsi-target-server"
"SMB";"Dateifreigabe-Protokoll fuer Windows-Netzwerke.";"Server Message Block (SMB) ist das Standard-Dateifreigabeprotokoll in Windows-Umgebungen. SMB 3.0+ bietet Verschluesselung, Multichannel, SMB Direct (RDMA) und Cluster-Faehigkeit. SMB wird fuer File Server, Hyper-V Storage und Azure Files genutzt. SMBv1 ist veraltet und ein Sicherheitsrisiko.";"In Windows enthalten.";"https://learn.microsoft.com/windows-server/storage/file-server/file-server-smb-overview"
"Azure File Sync";"Hybride Dateisynchronisation zwischen On-Premises und Azure.";"Azure File Sync synchronisiert lokale File Server mit Azure Files und bietet Cloud-Tiering (seltene Dateien nur in Azure, haeufige lokal gecacht). Szenarien: zentrales Backup, Multisite-Sync, DR-Faehigkeit und schrittweise Cloud-Migration von Dateifreigaben.";"Azure File Sync Agent kostenlos; Azure Files Storage nach Verbrauch.";"https://learn.microsoft.com/azure/storage/file-sync/file-sync-introduction"
"Veeam SureBackup";"Automatisierte Backup-Verifizierung per VM-Start.";"SureBackup startet VMs automatisch aus Backups in einer isolierten Sandbox, prueft Betriebssystem-Start, Anwendungsverfuegbarkeit und benutzerdefinierte Skripte. So wird sichergestellt, dass Backups tatsaechlich wiederherstellbar sind, ohne die Produktion zu beeinflussen.";"In Veeam Enterprise und Enterprise Plus enthalten.";"https://www.veeam.com/documentation-guides-datasheets.html"
"Backup-Verschluesselung";"Schutz von Backup-Daten vor unberechtigtem Zugriff.";"Backup-Verschluesselung (AES-256) schuetzt gesicherte Daten at rest und in transit. Verschluesselung erfolgt in der Backup-Software (Veeam, Azure Backup), auf Storage-Ebene (BitLocker, Azure Storage Encryption) oder per Hardware (Self-Encrypting Drives). Schluesselmanagement und Recovery-Keys muessen separat gesichert werden.";"In den meisten Enterprise-Backup-Loesungen und Cloud-Speichern enthalten.";"https://learn.microsoft.com/azure/backup/backup-azure-security-feature"
"Cloud Backup";"Datensicherung in Cloud-Speicher als Offsite-Kopie.";"Cloud Backup sichert lokale oder Cloud-Workloads in externen Cloud-Speicher (Azure Blob, AWS S3, Wasabi). Vorteile: keine Hardware-Investition, geografische Trennung, Skalierbarkeit. Nachteile: Bandbreitenabhaengigkeit, laufende Kosten, Restore-Zeiten bei grossen Datenmengen.";"Pay-as-you-go nach Speichermenge und Transaktionen.";"https://learn.microsoft.com/azure/backup/backup-overview"
"Retention Policy (Backup)";"Aufbewahrungsregeln fuer Backup-Daten.";"Retention Policies definieren, wie lange Backup-Daten vorgehalten werden: taeglich (z. B. 30 Tage), woechentlich (12 Wochen), monatlich (12 Monate), jaehrlich (7 Jahre). Regulatorische Anforderungen (GoBD, DSGVO, Branchenstandards) bestimmen die Mindestaufbewahrungsfristen.";"Konfiguration in Backup-Software; Speicherkosten steigen mit laengerer Retention.";"https://learn.microsoft.com/azure/backup/backup-azure-backup-faq"
