Eintrag;Kurzbeschreibung;Langbeschreibung;Lizenz-Info;MS Learn / Weblinks
SOC;Sicherheitsleitstelle fuer Ueberwachung und Vorfallbearbeitung.;Ein Security Operations Center (SOC) ist das Team und die Infrastruktur, die Sicherheitsmeldungen aus SIEM, EDR, Firewall und weiteren Quellen in Echtzeit ueberwacht, Vorfaelle analysiert und Gegenmassnahmen einleitet. SOC-Betrieb kann intern, extern (Managed SOC / MDR) oder hybrid organisiert sein. Schichtbetrieb (24/7) ist fuer kritische Umgebungen Standard.;"Organisatorisch; Tool-Kosten fuer SIEM + EDR + SOAR; Managed SOC als Dienstleistung nach Endpunktzahl.";https://learn.microsoft.com/azure/sentinel/overview
Endpoint Detection and Response;Erkennung und Reaktion auf Bedrohungen an Endgeraeten.;EDR-Loesungen sammeln Telemetriedaten von Endgeraeten (Prozesse, Netzwerk, Registry, Dateioperationen), erkennen verdaechtige Aktivitaeten per KI und Verhaltensanalyse und ermoeglichen forensische Untersuchung und Remote-Reaktion (Isolation, Live Response). Microsoft Defender for Endpoint Plan 2 ist eine fuehrende EDR-Loesung.;"Defender for Endpoint Plan 2 in M365 E5; Drittanbieter: CrowdStrike Falcon, SentinelOne, Carbon Black.";https://learn.microsoft.com/defender-endpoint/microsoft-defender-endpoint
Extended Detection and Response;Uebergreifende Bedrohungserkennung ueber mehrere Signalquellen.;XDR erweitert EDR um die Korrelation von Signalen aus Identitaeten (Entra ID), E-Mail (Defender for Office 365), Cloud-Apps (Defender for Cloud Apps) und Netzwerk. Microsoft Defender XDR vereint diese Quellen in einem Portal mit automatisierter Untersuchung und Incident-Korrelation.;"Microsoft Defender XDR in M365 E5; einzelne Defender-Komponenten separat lizenzierbar.";https://learn.microsoft.com/defender-xdr/microsoft-365-defender
Data Loss Prevention;Schutz vor unkontrolliertem Abfluss sensibler Daten.;DLP-Richtlinien erkennen und blockieren sensible Inhalte (Kreditkartennummern, Personalausweise, Geschaeftsgeheimnisse) beim Versenden per E-Mail, Hochladen in Cloud-Dienste, Kopieren auf USB oder Drucken. Microsoft Purview DLP schuetzt Exchange, SharePoint, OneDrive, Teams und Endgeraete. Adaptive Scopes und Trainable Classifiers verfeinern die Erkennung.;"Basis-DLP in M365 E3; Endpoint DLP und erweiterte Szenarien in M365 E5 oder Purview Add-on.";https://learn.microsoft.com/purview/dlp-learn-about-dlp
E-Mail-Security;Schutz des Mailverkehrs vor Spam, Malware und Phishing.;E-Mail-Security umfasst Antispam-Filterung, Anti-Malware-Scanning, Anti-Phishing-Richtlinien, Safe Links, Safe Attachments, SPF, DKIM, DMARC und Quarantaene-Management. In Microsoft 365 bietet Exchange Online Protection (EOP) den Basisschutz, Defender for Office 365 Plan 1/2 erweitert um fortgeschrittene Erkennung und Angriffssimulation.;"EOP in allen M365-Plaenen enthalten; Defender for Office 365 Plan 1 in E3 (teilweise), Plan 2 in E5.";https://learn.microsoft.com/defender-office-365/mdo-about
Phishing-Simulation;Realitaetsnahe Test-Kampagnen zur Schulung von Mitarbeitenden.;Phishing-Simulationen senden kontrollierte Phishing-E-Mails an Mitarbeitende, messen die Klick- und Meldequote und bieten anschliessend gezieltes Training an. Ziel: Reduktion der Anfaelligkeit fuer echte Phishing-Angriffe. Microsoft Attack Simulation Training bietet Vorlagen, Automatisierung und Reporting direkt im M365-Portal.;"Attack Simulation Training in M365 E5 / Defender for Office 365 Plan 2; KnowBe4, Proofpoint separat.";https://learn.microsoft.com/defender-office-365/attack-simulation-training-get-started
SPF;DNS-Eintrag zur Definition autorisierter Mailserver.;Sender Policy Framework (SPF) ist ein TXT-Record im DNS, der festlegt, welche IP-Adressen oder Hostnamen im Namen einer Domain E-Mails versenden duerfen. Empfangende Mailserver pruefen den SPF-Record und koennen Nachrichten von nicht autorisierten Quellen ablehnen oder markieren. SPF allein schuetzt nicht vor Header-Spoofing, daher immer mit DKIM und DMARC kombinieren.;"Kostenlos; DNS-Eintrag.";https://learn.microsoft.com/defender-office-365/email-authentication-spf-configure
DKIM;Kryptografische Signatur ausgehender E-Mails.;DomainKeys Identified Mail (DKIM) signiert den Header und Body ausgehender Mails mit einem privaten Schluessel. Der empfangende Server prueft die Signatur gegen den oeffentlichen Schluessel im DNS-CNAME/TXT-Record der Absenderdomaene. DKIM stellt sicher, dass die Nachricht unterwegs nicht veraendert wurde, und ist neben SPF eine Voraussetzung fuer DMARC.;"Kostenlos; in Exchange Online per PowerShell oder Defender-Portal aktivierbar.";https://learn.microsoft.com/defender-office-365/email-authentication-dkim-configure
DMARC;Richtlinie fuer den Umgang mit SPF-/DKIM-Verstoessen.;Domain-based Message Authentication, Reporting and Conformance (DMARC) definiert per DNS-TXT-Record, wie Empfaenger mit E-Mails umgehen sollen, die SPF und/oder DKIM nicht bestehen (none, quarantine, reject). DMARC-Reports liefern Einblicke, welche Systeme im Namen der Domain senden. Die schrittweise Einrichtung von none ueber quarantine zu reject ist Best Practice.;"Kostenlos; DNS-Eintrag. Report-Analyse per DMARC-Analyzer-Tools (z. B. Valimail, dmarcian).";https://learn.microsoft.com/defender-office-365/email-authentication-dmarc-configure
Privileged Access Management;Kontrolle und Absicherung hochprivilegierter Zugriffe.;"PAM schuetzt Konten mit weitreichenden Berechtigungen (Domain Admins, Global Admins, Root) durch Prinzipien wie Least Privilege, Just-in-Time-Zugriff, Genehmigungsworkflows und lueckenlose Protokollierung. Microsoft Entra PIM ermoeglicht zeitlich begrenzte Rollenaktivierung; Privileged Access Workstations (PAW) haerten die Admin-Arbeitsplaetze.";"Entra PIM erfordert Entra ID P2 (in M365 E5); PAW als organisatorische Massnahme.";https://learn.microsoft.com/entra/id-governance/privileged-identity-management/pim-configure
Passwort-Richtlinie;Anforderungen an Laenge, Komplexitaet und Handhabung von Passwoertern.;"Passwort-Richtlinien definieren Mindestlaenge, Komplexitaetsanforderungen, Sperrschwellen und Wiederverwendungsregeln. Moderne Empfehlungen (NIST 800-63B, BSI) setzen auf laengere Passwoerter statt haeufigem Wechsel und foerdern MFA als ergaenzenden Faktor. Entra ID Password Protection blockiert schwache und kompromittierte Passwoerter; Custom Banned Password Lists ergaenzen den Schutz.";"Entra ID Password Protection in Free/P1; Custom Banned Lists ab Entra ID P1.";https://learn.microsoft.com/entra/identity/authentication/concept-password-ban-bad
Compliance Audit;Systematische Pruefung von Prozessen und Systemen gegen Vorgaben.;Ein Compliance Audit bewertet, ob IT-Systeme, Prozesse und Dokumentationen definierte Standards und regulatorische Anforderungen erfuellen (z. B. ISO 27001, TISAX, DSGVO, NIS2). Auditoren pruefen Richtlinien, Nachweise, technische Konfigurationen und Massnahmenumsetzung. Microsoft Purview Compliance Manager unterstuetzt die Audit-Vorbereitung mit Assessments und Empfehlungen.;"Purview Compliance Manager in M365 E3 (Basis); erweiterte Vorlagen in E5 oder Compliance Add-on.";https://learn.microsoft.com/purview/compliance-manager
ISO 27001;Internationaler Standard fuer Informationssicherheits-Management.;ISO/IEC 27001 definiert Anforderungen an ein Informationssicherheits-Managementsystem (ISMS): Risikoanalyse, Massnahmenkatalog (Annex A mit 93 Controls), Dokumentation, internes Audit und kontinuierliche Verbesserung. Die Zertifizierung erfolgt durch akkreditierte Stellen und ist in vielen Branchen (Automotive/TISAX, Finanzen, oeffentliche Hand) gefordert oder erwartet.;"Keine Produktlizenz; Zertifizierungskosten durch Auditgesellschaft; Umsetzung mit M365-Compliance-Tools unterstuetzbar.";https://learn.microsoft.com/compliance/regulatory/offering-iso-27001
NIS2;EU-Richtlinie fuer Cybersicherheit kritischer Einrichtungen.;Die NIS2-Richtlinie (EU 2022/2555) erweitert den Kreis betroffener Unternehmen erheblich und verschaerft Anforderungen an Risikomanagement, Incident Reporting (24h/72h-Meldepflichten), Supply-Chain-Sicherheit und Geschaeftsleitungshaftung. Betroffene Sektoren: Energie, Verkehr, Gesundheit, digitale Infrastruktur, Verwaltung, Fertigung u.v.m. Die nationale Umsetzung (in DE: NIS2UmsuCG) konkretisiert die Anforderungen.;"Kein spezifisches Produkt; Umsetzung durch organisatorische und technische Massnahmen, unterstuetzt durch M365 E5 Security, Sentinel, Purview.";https://digital-strategy.ec.europa.eu/en/policies/nis2-directive
DSGVO;EU-Datenschutzverordnung fuer personenbezogene Daten.;Die Datenschutz-Grundverordnung (DSGVO / GDPR) regelt die Verarbeitung personenbezogener Daten in der EU. Kernprinzipien: Rechtmaessigkeit, Zweckbindung, Datenminimierung, Richtigkeit, Speicherbegrenzung, Integritaet und Vertraulichkeit. Organisationen muessen Verarbeitungsverzeichnisse fuehren, Datenschutz-Folgenabschaetzungen durchfuehren und Betroffenenrechte (Auskunft, Loeschung, Portabilitaet) gewaehrleisten. Microsoft 365 unterstuetzt DSGVO-Compliance durch Purview (DLP, Retention, eDiscovery, Audit), Sensitivity Labels und Compliance Manager.;"Kein spezifisches Produkt; Compliance-Tools in M365 E3/E5; Purview Add-ons fuer erweiterte Szenarien.";https://learn.microsoft.com/compliance/regulatory/gdpr
